# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
270.00;9;2.73;10.94;0.00;0.0698
270.00;6;3.91;9.38;0.00;0.0698
270.00;3;3.91;9.38;0.00;0.0698
270.00;0;3.13;9.38;0.00;0.0698
280.00;11;0.00;0.00;0.00;0.0000
280.00;10;0.00;0.00;0.00;0.0000
280.00;9;2.73;10.94;10.00;0.3336
280.00;8;0.00;0.00;0.00;0.0000
280.00;7;0.00;0.00;0.00;0.0000
280.00;6;3.91;9.38;7.50;0.3337
280.00;5;0.00;0.00;0.00;0.0000
280.00;4;0.00;0.00;0.00;0.0000
280.00;3;3.91;9.38;8.50;0.3337
280.00;2;0.00;0.00;0.00;0.0000
280.00;1;0.00;0.00;0.00;0.0000
280.00;0;3.13;9.38;9.00;0.3336
280.00;9;2.73;10.94;0.00;0.0698
280.00;6;3.91;9.38;0.00;0.0698
280.00;3;3.91;9.38;0.00;0.0698
280.00;0;3.13;9.38;0.00;0.0698
290.00;11;0.00;0.00;0.00;0.0000
290.00;10;0.00;0.00;0.00;0.0000
290.00;9;2.73;10.94;10.00;0.3336
290.00;8;0.00;0.00;0.00;0.0000
290.00;7;0.00;0.00;0.00;0.0000
290.00;6;3.91;9.38;7.50;0.3337
290.00;5;0.00;0.00;0.00;0.0000
290.00;4;0.00;0.00;0.00;0.0000
290.00;3;3.91;9.38;8.50;0.3337
290.00;2;0.00;0.00;0.00;0.0000
290.00;1;0.00;0.00;0.00;0.0000
290.00;0;3.13;9.38;9.00;0.3336
290.00;9;2.73;10.94;0.00;0.0698
290.00;6;3.91;9.38;0.00;0.0698
290.00;3;3.91;9.38;0.00;0.0698
290.00;0;3.13;9.38;0.00;0.0698
300.00;11;0.00;0.00;0.00;0.0000
300.00;10;0.00;0.00;0.00;0.0000
300.00;9;2.73;10.94;10.00;0.3336
300.00;8;0.00;0.00;0.00;0.0000
300.00;7;0.00;0.00;0.00;0.0000
300.00;6;3.91;9.38;7.50;0.3337
300.00;5;0.00;0.00;0.00;0.0000
300.00;4;0.00;0.00;0.00;0.0000
300.00;3;3.91;9.38;8.50;0.3337
300.00;2;0.00;0.00;0.00;0.0000
300.00;1;0.00;0.00;0.00;0.0000
300.00;0;3.13;9.38;9.00;0.3336
300.00;9;2.73;10.94;0.00;0.0698
300.00;6;3.91;9.38;0.00;0.0698
300.00;3;3.91;9.38;0.00;0.0698
300.00;0;3.13;9.38;0.00;0.0698
310.00;11;0.00;0.00;0.00;0.0000
310.00;10;0.00;0.00;0.00;0.0000
310.00;9;2.73;10.94;10.00;0.3336
310.00;8;0.00;0.00;0.00;0.0000
310.00;7;0.00;0.00;0.00;0.0000
310.00;6;3.91;9.38;7.50;0.3337
310.00;5;0.00;0.00;0.00;0.0000
310.00;4;0.00;0.00;0.00;0.0000
310.00;3;3.91;9.38;8.50;0.3337
310.00;2;0.00;0.00;0.00;0.0000
310.00;1;0.00;0.00;0.00;0.0000
310.00;0;3.13;9.38;9.00;0.3336
310.00;9;2.73;10.94;0.00;0.0698
310.00;6;3.91;9.38;0.00;0.0698
310.00;3;3.91;9.38;0.00;0.0698
310.00;0;3.13;9.38;0.00;0.0698
320.00;11;0.00;0.00;0.00;0.0000
320.00;10;0.00;0.00;0.00;0.0000
320.00;9;2.73;10.94;10.00;0.3336
320.00;8;0.00;0.00;0.00;0.0000
320.00;7;0.00;0.00;0.00;0.0000
320.00;6;3.91;9.38;7.50;0.3337
320.00;5;0.00;0.00;0.00;0.0000
320.00;4;0.00;0.00;0.00;0.0000
320.00;3;3.91;9.38;8.50;0.3337
320.00;2;0.00;0.00;0.00;0.0000
320.00;1;0.00;0.00;0.00;0.0000
320.00;0;3.13;9.38;9.00;0.3336
320.00;9;2.73;10.94;0.00;0.0698
320.00;6;3.91;9.38;0.00;0.0698
320.00;3;3.91;9.38;0.00;0.0698
320.00;0;3.13;9.38;0.00;0.0698
330.00;9;2.73;10.94;0.00;0.0698
330.00;6;3.91;9.38;0.00;0.0698
330.00;3;3.91;9.38;0.00;0.0698
330.00;0;3.13;9.38;0.00;0.0698
330.00;11;0.00;0.00;0.00;0.0000
330.00;10;0.00;0.00;0.00;0.0000
330.00;9;2.73;10.94;10.00;0.3336
330.00;8;0.00;0.00;0.00;0.0000
330.00;7;0.00;0.00;0.00;0.0000
330.00;6;3.91;9.38;7.50;0.3337
330.00;5;0.00;0.00;0.00;0.0000
330.00;4;0.00;0.00;0.00;0.0000
330.00;3;3.91;9.38;8.50;0.3337
330.00;2;0.00;0.00;0.00;0.0000
330.00;1;0.00;0.00;0.00;0.0000
330.00;0;3.13;9.38;9.00;0.3336
340.00;9;2.73;10.94;0.00;0.0698
340.00;6;3.91;9.38;0.00;0.0698
340.00;3;3.91;9.38;0.00;0.0698
340.00;0;3.13;9.38;0.00;0.0698
340.00;11;0.00;0.00;0.00;0.0000
340.00;10;0.00;0.00;0.00;0.0000
340.00;9;2.73;10.94;10.00;0.3336
340.00;8;0.00;0.00;0.00;0.0000
340.00;7;0.00;0.00;0.00;0.0000
340.00;6;3.91;9.38;7.50;0.3337
340.00;5;0.00;0.00;0.00;0.0000
340.00;4;0.00;0.00;0.00;0.0000
340.00;3;3.91;9.38;8.50;0.3337
340.00;2;0.00;0.00;0.00;0.0000
340.00;1;0.00;0.00;0.00;0.0000
340.00;0;3.13;9.38;9.00;0.3336
350.00;9;2.73;10.94;0.00;0.0698
350.00;6;3.91;9.38;0.00;0.0698
350.00;3;3.91;9.38;0.00;0.0698
350.00;0;3.13;9.38;0.00;0.0698
350.00;11;0.00;0.00;0.00;0.0000
350.00;10;0.00;0.00;0.00;0.0000
350.00;9;2.73;10.94;10.00;0.3336
350.00;8;0.00;0.00;0.00;0.0000
350.00;7;0.00;0.00;0.00;0.0000
350.00;6;3.91;9.38;7.50;0.3337
350.00;5;0.00;0.00;0.00;0.0000
350.00;4;0.00;0.00;0.00;0.0000
350.00;3;3.91;9.38;8.50;0.3337
350.00;2;0.00;0.00;0.00;0.0000
350.00;1;0.00;0.00;0.00;0.0000
350.00;0;3.13;9.38;9.00;0.3336
360.00;9;2.73;10.94;0.00;0.0698
360.00;6;3.91;9.38;0.00;0.0698
360.00;3;3.91;9.38;0.00;0.0698
360.00;0;3.13;9.38;0.00;0.0698
360.00;11;0.00;0.00;0.00;0.0000
360.00;10;0.00;0.00;0.00;0.0000
360.00;9;2.73;10.94;10.00;0.3336
360.00;8;0.00;0.00;0.00;0.0000
360.00;7;0.00;0.00;0.00;0.0000
360.00;6;3.91;9.38;7.50;0.3337
360.00;5;0.00;0.00;0.00;0.0000
360.00;4;0.00;0.00;0.00;0.0000
360.00;3;3.91;9.38;8.50;0.3337
360.00;2;0.00;0.00;0.00;0.0000
360.00;1;0.00;0.00;0.00;0.0000
360.00;0;3.13;9.38;9.00;0.3336
370.00;9;2.73;10.94;0.00;0.0698
370.00;6;3.91;9.38;0.00;0.0698
370.00;3;3.91;9.38;0.00;0.0698
370.00;0;3.13;9.38;0.00;0.0698
370.00;11;0.00;0.00;0.00;0.0000
370.00;10;0.00;0.00;0.00;0.0000
370.00;9;2.73;10.94;10.00;0.3336
370.00;8;0.00;0.00;0.00;0.0000
370.00;7;0.00;0.00;0.00;0.0000
370.00;6;3.91;9.38;7.50;0.3337
370.00;5;0.00;0.00;0.00;0.0000
370.00;4;0.00;0.00;0.00;0.0000
370.00;3;3.91;9.38;8.50;0.3337
370.00;2;0.00;0.00;0.00;0.0000
370.00;1;0.00;0.00;0.00;0.0000
370.00;0;3.13;9.38;9.00;0.3336
380.00;9;2.73;10.94;0.00;0.0698
380.00;6;3.91;9.38;0.00;0.0698
380.00;3;3.91;9.38;0.00;0.0698
380.00;0;3.13;9.38;0.00;0.0698
380.00;11;0.00;0.00;0.00;0.0000
380.00;10;0.00;0.00;0.00;0.0000
380.00;9;2.73;10.94;10.00;0.3336
380.00;8;0.00;0.00;0.00;0.0000
380.00;7;0.00;0.00;0.00;0.0000
380.00;6;3.91;9.38;7.50;0.3337
380.00;5;0.00;0.00;0.00;0.0000
