time;host_name;host_id;energy;vm_policy;link_policy;wf_policy
162;h_1;1.0;5.4159;LFF;BLA;SJF
162;h_0;0.0;5.4181;LFF;BLA;SJF
162;h_3;3.0;5.4181;LFF;BLA;SJF
162;h_2;2.0;5.4252;LFF;BLA;SJF
162;h_1;1.0;5.4159;LFF;BLA;SJF
162;h_0;0.0;5.4181;LFF;BLA;SJF
176;h_3;3.0;5.8888;LFF;BLA;SJF
176;h_2;2.0;5.8966;LFF;BLA;SJF
176;h_1;1.0;5.8864;LFF;BLA;SJF
176;h_0;0.0;5.8888;LFF;BLA;SJF
176;h_3;3.0;5.8888;LFF;BLA;SJF
176;h_2;2.0;5.8966;LFF;BLA;SJF
176;h_1;1.0;5.8864;LFF;BLA;SJF
176;h_0;0.0;5.8888;LFF;BLA;SJF
176;h_3;3.0;5.8888;LFF;BLA;SJF
176;h_2;2.0;5.8966;LFF;BLA;SJF
176;h_1;1.0;5.8864;LFF;BLA;SJF
176;h_0;0.0;5.8888;LFF;BLA;SJF
176;h_3;3.0;5.8888;LFF;BLA;SJF
176;h_2;2.0;5.8966;LFF;BLA;SJF
176;h_1;1.0;5.8864;LFF;BLA;SJF
176;h_0;0.0;5.8888;LFF;BLA;SJF
186;h_3;3.0;6.2226;LFF;BLA;SJF
186;h_2;2.0;6.2308;LFF;BLA;SJF
186;h_1;1.0;6.2201;LFF;BLA;SJF
186;h_0;0.0;6.2226;LFF;BLA;SJF
142;h_3;3.0;4.6736;LFF;First;Priority
142;h_2;2.0;4.6798;LFF;First;Priority
142;h_1;1.0;4.6717;LFF;First;Priority
142;h_0;0.0;4.6736;LFF;First;Priority
142;h_3;3.0;4.6736;LFF;First;Priority
142;h_2;2.0;4.6798;LFF;First;Priority
142;h_1;1.0;4.6717;LFF;First;Priority
142;h_0;0.0;4.6736;LFF;First;Priority
142;h_3;3.0;4.6736;LFF;First;Priority
142;h_2;2.0;4.6798;LFF;First;Priority
142;h_1;1.0;4.6717;LFF;First;Priority
142;h_0;0.0;4.6736;LFF;First;Priority
142;h_3;3.0;4.6736;LFF;First;Priority
142;h_2;2.0;4.6798;LFF;First;Priority
142;h_1;1.0;4.6717;LFF;First;Priority
142;h_0;0.0;4.6736;LFF;First;Priority
142;h_3;3.0;4.6736;LFF;First;Priority
142;h_2;2.0;4.6798;LFF;First;Priority
142;h_1;1.0;4.6717;LFF;First;Priority
142;h_0;0.0;4.6736;LFF;First;Priority
142;h_3;3.0;4.6736;LFF;First;Priority
142;h_2;2.0;4.6798;LFF;First;Priority
142;h_1;1.0;4.6717;LFF;First;Priority
142;h_0;0.0;4.6736;LFF;First;Priority
142;h_3;3.0;4.6736;LFF;First;Priority
142;h_2;2.0;4.6798;LFF;First;Priority
142;h_1;1.0;4.6717;LFF;First;Priority
142;h_0;0.0;4.6736;LFF;First;Priority
144;h_3;3.0;4.6736;LFF;First;Priority
144;h_2;2.0;4.6798;LFF;First;Priority
