vm_policy;link_policy;wf_policy;# units: timestamp; flowId; violationType
LFF;BLA;Priority;60;44;SLA_VIOLATION
LFF;BLA;Priority;60;46;SLA_VIOLATION
LFF;BLA;Priority;60;46;SLA_VIOLATION
LFF;BLA;Priority;60;46;SLA_VIOLATION
LFF;BLA;Priority;60;46;SLA_VIOLATION
LFF;BLA;Priority;60;46;SLA_VIOLATION
LFF;BLA;Priority;60;46;SLA_VIOLATION
LFF;BLA;Priority;60;48;SLA_VIOLATION
LFF;BLA;Priority;60;48;SLA_VIOLATION
LFF;BLA;Priority;60;48;SLA_VIOLATION
LFF;BLA;Priority;60;48;SLA_VIOLATION
LFF;BLA;Priority;60;6;SLA_VIOLATION
LFF;BLA;Priority;60;6;SLA_VIOLATION
LFF;BLA;Priority;60;6;SLA_VIOLATION
LFF;BLA;Priority;60;6;SLA_VIOLATION
LFF;BLA;Priority;60;6;SLA_VIOLATION
LFF;BLA;Priority;60;6;SLA_VIOLATION
LFF;BLA;Priority;60;49;SLA_VIOLATION
LFF;BLA;Priority;60;49;SLA_VIOLATION
LFF;BLA;Priority;60;49;SLA_VIOLATION
LFF;BLA;Priority;60;49;SLA_VIOLATION
LFF;BLA;Priority;60;49;SLA_VIOLATION
LFF;BLA;Priority;60;49;SLA_VIOLATION
LFF;BLA;Priority;60;15;SLA_VIOLATION
LFF;BLA;Priority;60;15;SLA_VIOLATION
LFF;BLA;Priority;60;30;SLA_VIOLATION
LFF;BLA;Priority;60;30;SLA_VIOLATION
LFF;BLA;Priority;60;30;SLA_VIOLATION
LFF;BLA;Priority;60;30;SLA_VIOLATION
LFF;BLA;Priority;60;30;SLA_VIOLATION
LFF;BLA;Priority;60;30;SLA_VIOLATION
LFF;BLA;Priority;70;7;SLA_VIOLATION
LFF;BLA;Priority;70;7;SLA_VIOLATION
LFF;BLA;Priority;70;20;SLA_VIOLATION
LFF;BLA;Priority;70;20;SLA_VIOLATION
LFF;BLA;Priority;70;20;SLA_VIOLATION
LFF;BLA;Priority;70;20;SLA_VIOLATION
