time;src;dst;path;min_bw_mbps;avg_bw_used;avg_pct_use;network_latency_ms;proc_delay_ms;total_delay_ms;selected;vm_policy;link_policy;wf_policy
20;h_1;h_0;h_1->e1->c1->e0->h_0;50.0;320.0;472.0;16000.402;0.0;5500.0;True;LFF;First;Priority
20;h_1;h_0;h_1->e1->c1->e0->h_0;50.0;320.0;472.0;3200.402;0.0;1500.0;True;LFF;First;Priority
30;h_1;h_3;h_1->e1->h_3;100.0;516.0;516.0;1600.201;7899.799;9500.0;True;LFF;First;Priority
30;h_1;h_3;h_1->e1->h_3;100.0;516.0;516.0;400.201;5099.799;5500.0;True;LFF;First;Priority
30;h_1;h_2;h_1->e1->c1->e0->h_2;50.0;812.0;1232.0;16000.402;0.0;8500.0;True;LFF;First;Priority
30;h_1;h_2;h_1->e1->c1->e0->h_2;50.0;812.0;1232.0;800.402;5699.598;6500.0;True;LFF;First;Priority
30;h_1;h_2;h_1->e1->c1->e0->h_2;50.0;812.0;1232.0;16000.402;0.0;4500.0;True;LFF;First;Priority
30;h_2;h_1;h_2->e0->c1->e1->h_1;50.0;726.0;1098.0;800.402;9199.598;10000.0;True;LFF;First;Priority
30;h_0;h_1;h_0->e0->c1->e1->h_1;50.0;628.0;1000.0;3200.402;5799.598;9000.0;True;LFF;First;Priority
30;h_2;h_1;h_2->e0->c1->e1->h_1;50.0;726.0;1098.0;12000.402;0.0;8000.0;True;LFF;First;Priority
30;h_3;h_1;h_3->e1->h_1;100.0;476.0;476.0;8000.201;0.0;7000.0;True;LFF;First;Priority
30;h_2;h_1;h_2->e0->c1->e1->h_1;50.0;726.0;1098.0;16000.402;0.0;6000.0;True;LFF;First;Priority
30;h_0;h_1;h_0->e0->c1->e1->h_1;50.0;628.0;1000.0;12000.402;0.0;5000.0;True;LFF;First;Priority
30;h_1;h_0;h_1->e1->c1->e0->h_0;50.0;706.0;1126.0;12000.402;0.0;7500.0;True;LFF;First;Priority
10;h_1;h_3;h_1->e1->h_3;100.0;0.0;0.0;400.201;8489.799;8890.0;True;LFF;First;PSO
10;h_1;h_3;h_1->e1->h_3;100.0;0.0;0.0;8000.201;669.799;8670.0;True;LFF;First;PSO
10;h_1;h_3;h_1->e1->h_3;100.0;0.0;0.0;4000.201;4609.799;8610.0;True;LFF;First;PSO
10;h_1;h_3;h_1->e1->h_3;100.0;0.0;0.0;800.201;7769.799;8570.0;True;LFF;First;PSO
10;h_1;h_3;h_1->e1->h_3;100.0;0.0;0.0;6000.201;2559.799;8560.0;True;LFF;First;PSO
10;h_1;h_3;h_1->e1->h_3;100.0;0.0;0.0;1600.201;6949.799;8550.0;True;LFF;First;PSO
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0;0.0;0.0;16000.402;0.0;8920.0;True;LFF;First;PSO
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0;0.0;0.0;8000.402;839.598;8840.0;True;LFF;First;PSO
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0;0.0;0.0;8000.402;819.598;8820.0;True;LFF;First;PSO
10;h_1;h_2;h_1->e1->c1->e0->h_2;50.0;0.0;0.0;16000.402;0.0;8770.0;True;LFF;First;PSO
