time;host_id;cpu_util;ram_util;bw_util;energy;vm_policy;link_policy;wf_policy
90;3;6.25;12.5;20.0;3.0045;LFF;First;PSO
90;2;12.5;25.0;20.0;3.0084;LFF;First;PSO
90;1;3.125;12.5;20.0;3.0033;LFF;First;PSO
90;0;6.25;12.5;20.0;3.0045;LFF;First;PSO
100;3;6.25;12.5;20.0;3.3383;LFF;First;PSO
100;2;12.5;25.0;20.0;3.3427;LFF;First;PSO
100;1;3.125;12.5;20.0;3.337;LFF;First;PSO
100;0;6.25;12.5;20.0;3.3383;LFF;First;PSO
110;3;6.25;12.5;20.0;3.6721;LFF;First;PSO
110;2;12.5;25.0;20.0;3.677;LFF;First;PSO
110;1;3.125;12.5;20.0;3.6707;LFF;First;PSO
110;0;6.25;12.5;20.0;3.6721;LFF;First;PSO
120;3;6.25;12.5;20.0;4.006;LFF;First;PSO
120;2;12.5;25.0;20.0;4.0113;LFF;First;PSO
120;1;3.125;12.5;20.0;4.0044;LFF;First;PSO
120;0;6.25;12.5;20.0;4.006;LFF;First;PSO
130;3;6.25;12.5;20.0;4.3398;LFF;First;PSO
130;2;12.5;25.0;20.0;4.3455;LFF;First;PSO
130;1;3.125;12.5;20.0;4.3381;LFF;First;PSO
130;0;6.25;12.5;20.0;4.3398;LFF;First;PSO
10;3;6.25;12.5;20.0;0.3338;LFF;First;SJF
10;2;12.5;25.0;20.0;0.3343;LFF;First;SJF
10;1;3.125;12.5;20.0;0.3337;LFF;First;SJF
10;0;6.25;12.5;20.0;0.3338;LFF;First;SJF
20;3;6.25;12.5;20.0;0.6677;LFF;First;SJF
20;2;12.5;25.0;20.0;0.6685;LFF;First;SJF
20;1;3.125;12.5;20.0;0.6674;LFF;First;SJF
20;0;6.25;12.5;20.0;0.6677;LFF;First;SJF
30;3;6.25;12.5;20.0;1.0015;LFF;First;SJF
30;2;12.5;25.0;20.0;1.0028;LFF;First;SJF
30;1;3.125;12.5;20.0;1.0011;LFF;First;SJF
30;0;6.25;12.5;20.0;1.0015;LFF;First;SJF
40;3;6.25;12.5;20.0;1.3353;LFF;First;SJF
40;2;12.5;25.0;20.0;1.3371;LFF;First;SJF
40;1;3.125;12.5;20.0;1.3348;LFF;First;SJF
40;0;6.25;12.5;20.0;1.3353;LFF;First;SJF
50;3;6.25;12.5;20.0;1.6691;LFF;First;SJF
50;2;12.5;25.0;20.0;1.6714;LFF;First;SJF
50;1;3.125;12.5;20.0;1.6685;LFF;First;SJF
50;0;6.25;12.5;20.0;1.6691;LFF;First;SJF
60;3;6.25;12.5;20.0;2.003;LFF;First;SJF
60;2;12.5;25.0;20.0;2.0056;LFF;First;SJF
60;1;3.125;12.5;20.0;2.0022;LFF;First;SJF
60;0;6.25;12.5;20.0;2.003;LFF;First;SJF
70;3;6.25;12.5;20.0;2.3368;LFF;First;SJF
70;2;12.5;25.0;20.0;2.3399;LFF;First;SJF
70;1;3.125;12.5;20.0;2.3359;LFF;First;SJF
