vm_policy;link_policy;wf_policy;# units: time(s); hostId; energy(Wh)
LWFF;BLA;SJF;40;3;0.0699
LWFF;BLA;SJF;40;2;0.0704
LWFF;BLA;SJF;40;1;0.0698
LWFF;BLA;SJF;40;0;0.0699
LWFF;BLA;SJF;50;3;0.0699
LWFF;BLA;SJF;50;2;0.0704
LWFF;BLA;SJF;50;1;0.0698
LWFF;BLA;SJF;50;0;0.0699
LWFF;BLA;SJF;60;3;0.0699
LWFF;BLA;SJF;60;2;0.0704
LWFF;BLA;SJF;60;1;0.0698
LWFF;BLA;SJF;60;0;0.0699
LWFF;BLA;SJF;70;3;0.0699
LWFF;BLA;SJF;70;2;0.0704
LWFF;BLA;SJF;70;1;0.0698
LWFF;BLA;SJF;70;0;0.0699
LWFF;BLA;SJF;80;3;0.0699
LWFF;BLA;SJF;80;2;0.0704
LWFF;BLA;SJF;80;1;0.0698
LWFF;BLA;SJF;80;0;0.0699
LWFF;BLA;SJF;90;3;0.0699
LWFF;BLA;SJF;90;2;0.0704
LWFF;BLA;SJF;90;1;0.0698
LWFF;BLA;SJF;90;0;0.0699
LWFF;BLA;SJF;100;3;0.0699
LWFF;BLA;SJF;100;2;0.0704
LWFF;BLA;SJF;100;1;0.0698
LWFF;BLA;SJF;100;0;0.0699
LWFF;BLA;SJF;110;3;0.0699
LWFF;BLA;SJF;110;2;0.0704
LWFF;BLA;SJF;110;1;0.0698
LWFF;BLA;SJF;110;0;0.0699
LWFF;BLA;SJF;120;3;0.0699
LWFF;BLA;SJF;120;2;0.0704
LWFF;BLA;SJF;120;1;0.0698
LWFF;BLA;SJF;120;0;0.0699
LWFF;BLA;SJF;130;3;0.0699
LWFF;BLA;SJF;130;2;0.0704
LWFF;BLA;SJF;130;1;0.0698
LWFF;BLA;SJF;130;0;0.0699
LWFF;BLA;SJF;140;3;0.0699
LWFF;BLA;SJF;140;2;0.0704
LWFF;BLA;SJF;140;1;0.0698
LWFF;BLA;SJF;140;0;0.0699
LWFF;BLA;SJF;150;3;0.0699
LWFF;BLA;SJF;150;2;0.0704
LWFF;BLA;SJF;150;1;0.0698
LWFF;BLA;SJF;150;0;0.0699
LWFF;BLA;SJF;160;3;0.0699
LWFF;BLA;SJF;160;2;0.0704
LWFF;BLA;SJF;160;1;0.0698
LWFF;BLA;SJF;160;0;0.0699
LWFF;First;Priority;10;3;0.0704
LWFF;First;Priority;10;2;0.0716
LWFF;First;Priority;10;1;0.0717
LWFF;First;Priority;10;0;0.0702
LWFF;First;Priority;20;3;0.0704
LWFF;First;Priority;20;2;0.0721
LWFF;First;Priority;20;1;0.0723
LWFF;First;Priority;20;0;0.0703
LWFF;First;Priority;30;3;0.0703
LWFF;First;Priority;30;2;0.0713
LWFF;First;Priority;30;1;0.0713
LWFF;First;Priority;30;0;0.0703
LWFF;First;Priority;40;3;0.0699
LWFF;First;Priority;40;2;0.0704
LWFF;First;Priority;40;1;0.0698
LWFF;First;Priority;40;0;0.0699
LWFF;First;Priority;50;3;0.0699
LWFF;First;Priority;50;2;0.0704
LWFF;First;Priority;50;1;0.0698
LWFF;First;Priority;50;0;0.0699
