time;node_id;cpu_w;ram_w;bw_w;total_w;vm_policy;link_policy;wf_policy
40.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
40.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
40.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
40.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
40.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
40.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
50.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
50.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
50.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
50.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
50.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
50.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
50.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
50.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
60.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
60.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
60.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
60.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
60.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
60.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
60.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
60.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
70.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
70.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
70.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
70.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
70.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
70.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
70.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
70.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
80.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
80.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
80.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
80.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
80.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
80.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
80.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
80.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
90.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
90.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
90.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
90.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
90.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
90.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
90.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
90.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
100.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
100.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
100.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
100.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
