time;src;dst;path;min_bw_mbps;avg_bw_used;avg_pct_use;network_latency_ms;proc_delay_ms;total_delay_ms;selected;vm_policy;link_policy;wf_policy;dataset
20;h_15;h_2;h_15->edge7->agg3->core0->agg0->edge1->h_2;10.0;547.2;1093.91;108004.1282;0.0;8389.9993;True;LFF;BLA;Priority;dataset-LargeVF
20;h_14;h_2;h_14->edge7->agg3->core0->agg0->edge1->h_2;10.0;547.2;1093.91;72004.1282;0.0;8069.9997;True;LFF;BLA;Priority;dataset-LargeVF
20;h_16;h_2;h_16->edge8->agg5->core0->agg0->edge1->h_2;10.0;655.2;1574.9;36004.1282;0.0;6429.9993;True;LFF;BLA;Priority;dataset-LargeVF
20;h_16;h_2;h_16->edge8->agg5->core0->agg0->edge1->h_2;10.0;655.2;1574.9;7204.1282;0.0;5640.0;True;LFF;BLA;Priority;dataset-LargeVF
20;h_15;h_2;h_15->edge7->agg3->core0->agg0->edge1->h_2;10.0;547.2;1093.91;21604.1282;0.0;2639.9997;True;LFF;BLA;Priority;dataset-LargeVF
20;h_16;h_2;h_16->edge8->agg5->core0->agg0->edge1->h_2;10.0;655.2;1574.9;108004.1282;0.0;869.9993;True;LFF;BLA;Priority;dataset-LargeVF
20;h_3;h_2;h_3->edge1->h_2;10000.0;327.6;3.28;10.9;189.0999;200.0;True;LFF;BLA;Priority;dataset-LargeVF
20;h_1;h_0;h_1->edge0->h_0;10000.0;1323.0;13.23;216.1;3093.8996;3309.9997;True;LFF;BLA;Priority;dataset-LargeVF
30;h_12;h_2;h_12->edge6->agg3->core0->agg0->edge1->h_2;10.0;593.4;1244.0;72004.1281;0.0;1590.0;True;LFF;BLA;Priority;dataset-LargeVF
30;h_9;h_4;h_9->edge4->agg2->core0->agg1->edge2->h_4;10.0;239.4;678.98;21604.1266;0.0;4819.9997;True;LFF;BLA;Priority;dataset-LargeVF
30;h_13;h_13;h_13->(LOCAL)->h_13;10000.0;0.0;0.0;0.0;7120.0;7120.0;True;LFF;BLA;Priority;dataset-LargeVF
30;h_2;h_13;h_2->edge1->agg0->core0->agg3->edge6->h_13;10.0;410.4;1602.81;14404.1281;0.0;4489.9997;True;LFF;BLA;Priority;dataset-LargeVF
30;h_6;h_9;h_6->edge3->agg1->core0->agg2->edge4->h_9;10.0;329.4;936.98;14404.1267;0.0;9329.9993;True;LFF;BLA;Priority;dataset-LargeVF
30;h_6;h_9;h_6->edge3->agg1->core0->agg2->edge4->h_9;10.0;329.4;936.98;36004.1267;0.0;2450.0;True;LFF;BLA;Priority;dataset-LargeVF
30;h_0;h_14;h_0->edge0->agg0->core0->agg3->edge7->h_14;10.0;684.0;2672.99;72004.1282;0.0;6539.9997;True;LFF;BLA;Priority;dataset-LargeVF
30;h_1;h_14;h_1->edge0->agg0->core0->agg3->edge7->h_14;10.0;727.8;2673.43;216004.1282;0.0;5979.9997;True;LFF;BLA;Priority;dataset-LargeVF
30;h_1;h_14;h_1->edge0->agg0->core0->agg3->edge7->h_14;10.0;727.8;2673.43;10804.1282;0.0;4199.9993;True;LFF;BLA;Priority;dataset-LargeVF
30;h_1;h_14;h_1->edge0->agg0->core0->agg3->edge7->h_14;10.0;727.8;2673.43;72004.1282;0.0;3210.0;True;LFF;BLA;Priority;dataset-LargeVF
30;h_0;h_14;h_0->edge0->agg0->core0->agg3->edge7->h_14;10.0;684.0;2672.99;144004.1282;0.0;400.0;True;LFF;BLA;Priority;dataset-LargeVF
30;h_0;h_1;h_0->edge0->h_1;10000.0;997.2;9.97;54.1;9745.8999;9800.0;True;LFF;BLA;Priority;dataset-LargeVF
30;h_0;h_1;h_0->edge0->h_1;10000.0;997.2;9.97;7.3;9652.6996;9659.9997;True;LFF;BLA;Priority;dataset-LargeVF
30;h_6;h_1;h_6->edge3->agg1->core0->agg0->edge0->h_1;10.0;881.4;2595.0;21604.1255;0.0;5209.9997;True;LFF;BLA;Priority;dataset-LargeVF
30;h_0;h_1;h_0->edge0->h_1;10000.0;997.2;9.97;14.5;1945.4996;1959.9997;True;LFF;BLA;Priority;dataset-LargeVF
30;h_0;h_1;h_0->edge0->h_1;10000.0;997.2;9.97;216.1;703.8999;920.0;True;LFF;BLA;Priority;dataset-LargeVF
30;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;10.0;1038.0;4125.04;14404.1254;0.0;3810.0;True;LFF;BLA;Priority;dataset-LargeVF
30;h_5;h_1;h_5->edge2->agg1->core0->agg0->edge0->h_1;10.0;1170.0;4126.36;54004.1254;0.0;7000.0;True;LFF;BLA;Priority;dataset-LargeVF
30;h_2;h_10;h_2->edge1->agg0->core1->agg2->edge5->h_10;10.0;384.6;1494.77;7204.1266;2725.8727;9929.9993;True;LFF;BLA;Priority;dataset-LargeVF
30;h_1;h_10;h_1->edge0->agg0->core1->agg2->edge5->h_10;10.0;697.2;2792.6;108004.1266;0.0;3969.9993;True;LFF;BLA;Priority;dataset-LargeVF
30;h_17;h_10;h_17->edge8->agg5->core0->agg2->edge5->h_10;10.0;291.6;1380.98;14404.1293;0.0;2999.9997;True;LFF;BLA;Priority;dataset-LargeVF
30;h_1;h_10;h_1->edge0->agg0->core1->agg2->edge5->h_10;10.0;697.2;2792.6;216004.1266;0.0;1830.0;True;LFF;BLA;Priority;dataset-LargeVF
30;h_1;h_0;h_1->edge0->h_0;10000.0;1031.4;10.31;72.1;7207.8996;7279.9997;True;LFF;BLA;Priority;dataset-LargeVF
30;h_0;h_1;h_0->edge0->h_1;10000.0;997.2;9.97;72.1;5557.8999;5630.0;True;LFF;BLA;Priority;dataset-LargeVF
30;h_19;h_1;h_19->edge9->agg6->edge0->h_1;10.0;289.8;2.9;216004.1018;0.0;7860.0;True;LFF;BLA;Priority;dataset-LargeVF
