pkt_id;src;dest;psize;delay_ms;proc_delay_ms;prop_delay_ms;trans_delay_ms;queue_delay_ms;vm_policy;link_policy;wf_policy;dataset
601;web8;web2;270000000;23547.8993;4803.2;0.1;216.0;18524.3992;LFF;BLA;Priority;dataset-LargeVF
442;app4;web8;180000000;41150.2993;11796.0;0.1;144.0;29205.9793;LFF;BLA;Priority;dataset-LargeVF
192;svc5;web1;27000000;112538.1793;14158.6;4.1266;21600.0;76767.2127;LFF;BLA;Priority;dataset-LargeVF
673;app2;svc2;90000000;19101.7994;17551.8;0.0;0.0;1549.9994;LFF;BLA;Priority;dataset-LargeVF
476;app9;web1;135000000;39377.7992;18783.9;0.0;0.0;20589.7992;LFF;BLA;Priority;dataset-LargeVF
320;app8;app6;180000000;55373.3997;15913.7;0.1;144.0;39311.3797;LFF;BLA;Priority;dataset-LargeVF
692;web2;web5;270000000;18677.0996;2809.6;0.1;216.0;15647.1795;LFF;BLA;Priority;dataset-LargeVF
540;app9;web3;180000000;34656.1999;14869.0;0.1;144.0;19642.8999;LFF;BLA;Priority;dataset-LargeVF
391;web7;app3;180000000;51589.7997;17002.5;0.1;144.0;34438.9796;LFF;BLA;Priority;dataset-LargeVF
535;web0;web0;180000000;40541.7998;11780.6;0.0;0.0;28757.0798;LFF;BLA;Priority;dataset-LargeVF
683;web7;web4;90000000;25985.4999;8416.4;0.1;72.0;17492.7799;LFF;BLA;Priority;dataset-LargeVF
695;web3;web1;135000000;25010.0999;5138.6;0.1;108.0;19759.1999;LFF;BLA;Priority;dataset-LargeVF
121;svc2;app3;270000000;136844.6001;45092.1;0.1;216.0;91532.1801;LFF;BLA;Priority;dataset-LargeVF
513;app9;web1;180000000;45996.1995;19038.1;0.0;0.0;26953.9995;LFF;BLA;Priority;dataset-LargeVF
602;db0;web7;135000000;38417.6998;9995.9;0.0;0.0;28417.6798;LFF;BLA;Priority;dataset-LargeVF
547;app9;web1;90000000;43901.3998;19995.7;0.0;0.0;23901.5998;LFF;BLA;Priority;dataset-LargeVF
107;app3;web9;13500000;146018.1839;36468.6;4.1282;10800.0;98737.2157;LFF;BLA;Priority;dataset-LargeVF
659;web8;app2;180000000;35024.1999;10577.3;0.1;144.0;24298.5799;LFF;BLA;Priority;dataset-LargeVF
631;web7;app3;180000000;40107.3999;11391.7;0.1;144.0;28567.3799;LFF;BLA;Priority;dataset-LargeVF
498;app0;web5;270000000;54073.0995;14927.7;0.0;0.0;39141.2795;LFF;BLA;Priority;dataset-LargeVF
25;db7;web0;67500000;167555.7794;937.8;4.1266;54000.0;112605.6128;LFF;BLA;Priority;dataset-LargeVF
22;web4;web0;27000000;168880.7794;33462.8;4.1266;21600.0;113809.6328;LFF;BLA;Priority;dataset-LargeVF
681;web1;web1;135000000;37192.7994;18221.4;0.0;0.0;18967.2994;LFF;BLA;Priority;dataset-LargeVF
629;app3;web8;180000000;43827.3991;12695.8;0.0;0.0;31127.4791;LFF;BLA;Priority;dataset-LargeVF
554;web7;web4;270000000;51376.1993;15829.3;0.1;216.0;35326.5792;LFF;BLA;Priority;dataset-LargeVF
559;web8;web4;180000000;51420.0995;16256.7;0.0;0.0;35159.2795;LFF;BLA;Priority;dataset-LargeVF
31;db7;web0;67500000;171033.6797;2437.1;4.1266;54000.0;114584.2131;LFF;BLA;Priority;dataset-LargeVF
619;app8;app6;270000000;47036.3;13196.0;0.1;216.0;33619.9799;LFF;BLA;Priority;dataset-LargeVF
582;web7;app3;270000000;51941.6993;16967.8;0.1;216.0;34753.5792;LFF;BLA;Priority;dataset-LargeVF
236;db5;app6;45000000;127846.3793;4978.0;4.1266;36000.0;86856.0127;LFF;BLA;Priority;dataset-LargeVF
502;web5;web5;180000000;61873.7998;17654.6;0.0;0.0;44215.0798;LFF;BLA;Priority;dataset-LargeVF
267;svc5;web1;45000000;121376.3796;1698.0;4.1266;36000.0;83666.013;LFF;BLA;Priority;dataset-LargeVF
60;app0;web0;4500000;170595.3793;51491.0;4.1266;3600.0;115496.0328;LFF;BLA;Priority;dataset-LargeVF
541;app3;web8;270000000;60484.5998;18648.2;0.0;0.0;41832.2798;LFF;BLA;Priority;dataset-LargeVF
73;svc9;web0;67500000;169506.5797;1801.4;4.1266;54000.0;113696.8331;LFF;BLA;Priority;dataset-LargeVF
143;web3;web1;18000000;156442.3001;50009.6;0.1;14.4;106414.0001;LFF;BLA;Priority;dataset-LargeVF
555;web8;web2;135000000;63203.8;19926.5;0.1;108.0;43164.9999;LFF;BLA;Priority;dataset-LargeVF
217;web5;web9;45000000;140084.5846;7597.4;4.1282;36000.0;96474.8164;LFF;BLA;Priority;dataset-LargeVF
666;app6;app8;270000000;53552.8999;16918.2;0.1;216.0;36414.3799;LFF;BLA;Priority;dataset-LargeVF
484;web4;db4;135000000;72553.6995;71613.7;0.0;0.0;939.9995;LFF;BLA;Priority;dataset-LargeVF
539;web8;web4;135000000;67402.1991;20887.4;0.0;0.0;46510.6791;LFF;BLA;Priority;dataset-LargeVF
178;web2;web5;270000000;153199.9994;48043.9;0.1;216.0;104935.7793;LFF;BLA;Priority;dataset-LargeVF
609;web8;web2;135000000;63472.4993;18429.4;0.1;108.0;44930.7992;LFF;BLA;Priority;dataset-LargeVF
568;web3;web1;90000000;68146.2993;22070.0;0.1;72.0;45999.9992;LFF;BLA;Priority;dataset-LargeVF
171;db1;web8;45000000;157580.1012;13192.6;4.1005;36000.0;108375.1807;LFF;BLA;Priority;dataset-LargeVF
98;app7;web4;67500000;174458.684;2062.1;4.1281;54000.0;118384.2159;LFF;BLA;Priority;dataset-LargeVF
367;app2;svc2;270000000;90786.0999;88266.1;0.0;0.0;2519.9999;LFF;BLA;Priority;dataset-LargeVF
3;web0;web1;9000000;197065.779;55677.8;4.1266;7200.0;134175.6124;LFF;BLA;Priority;dataset-LargeVF
2;web2;web5;270000000;201287.6994;63989.8;0.1;216.0;137077.5794;LFF;BLA;Priority;dataset-LargeVF
654;web4;db4;180000000;68161.1991;64911.2;0.0;0.0;3249.9991;LFF;BLA;Priority;dataset-LargeVF
296;app5;web8;45000000;137312.7793;9186.8;4.1266;36000.0;92117.6327;LFF;BLA;Priority;dataset-LargeVF
234;app8;web0;45000000;151742.3793;12750.0;4.1266;36000.0;102980.0127;LFF;BLA;Priority;dataset-LargeVF
691;db0;web7;135000000;68538.2994;19616.1;0.0;0.0;48918.0794;LFF;BLA;Priority;dataset-LargeVF
700;app0;web5;13500000;11545.3998;801.8;0.0;0.0;10739.4798;LFF;BLA;Priority;dataset-LargeVF
208;web9;web1;45000000;166691.4846;19149.7;4.1282;36000.0;111529.4164;LFF;BLA;Priority;dataset-LargeVF
724;web3;web1;270000000;9254.2999;2212.0;0.1;216.0;6821.9999;LFF;BLA;Priority;dataset-LargeVF
711;app2;web5;67500000;13231.1999;2386.3;0.1;54.0;10786.5799;LFF;BLA;Priority;dataset-LargeVF
193;web9;web2;67500000;172733.3843;1937.0;4.1282;54000.0;116784.0161;LFF;BLA;Priority;dataset-LargeVF
