time;host_name;host_id;energy;vm_policy;link_policy;wf_policy;dataset
2380;h_13;13.0;79.7124;LFF;BLA;Priority;dataset-LargeVF
2380;h_12;12.0;79.7157;LFF;BLA;Priority;dataset-LargeVF
2380;h_11;11.0;79.7124;LFF;BLA;Priority;dataset-LargeVF
2380;h_10;10.0;79.7104;LFF;BLA;Priority;dataset-LargeVF
2380;h_9;9.0;79.5549;LFF;BLA;Priority;dataset-LargeVF
2380;h_8;8.0;79.5549;LFF;BLA;Priority;dataset-LargeVF
2380;h_7;7.0;79.7124;LFF;BLA;Priority;dataset-LargeVF
2380;h_6;6.0;79.7104;LFF;BLA;Priority;dataset-LargeVF
2380;h_5;5.0;79.5549;LFF;BLA;Priority;dataset-LargeVF
2380;h_4;4.0;79.5549;LFF;BLA;Priority;dataset-LargeVF
2380;h_3;3.0;79.5539;LFF;BLA;Priority;dataset-LargeVF
2380;h_2;2.0;79.6541;LFF;BLA;Priority;dataset-LargeVF
2380;h_1;1.0;79.5972;LFF;BLA;Priority;dataset-LargeVF
2380;h_0;0.0;79.5667;LFF;BLA;Priority;dataset-LargeVF
2380;h_19;19.0;80.0752;LFF;BLA;Priority;dataset-LargeVF
2380;h_18;18.0;80.0752;LFF;BLA;Priority;dataset-LargeVF
2380;h_17;17.0;80.0818;LFF;BLA;Priority;dataset-LargeVF
2380;h_16;16.0;80.0752;LFF;BLA;Priority;dataset-LargeVF
2380;h_15;15.0;80.0818;LFF;BLA;Priority;dataset-LargeVF
2380;h_14;14.0;80.0712;LFF;BLA;Priority;dataset-LargeVF
2380;h_13;13.0;79.7124;LFF;BLA;Priority;dataset-LargeVF
2380;h_12;12.0;79.7157;LFF;BLA;Priority;dataset-LargeVF
2380;h_11;11.0;79.7124;LFF;BLA;Priority;dataset-LargeVF
2380;h_10;10.0;79.7104;LFF;BLA;Priority;dataset-LargeVF
2380;h_9;9.0;79.5549;LFF;BLA;Priority;dataset-LargeVF
2380;h_8;8.0;79.5549;LFF;BLA;Priority;dataset-LargeVF
2380;h_7;7.0;79.7124;LFF;BLA;Priority;dataset-LargeVF
2380;h_6;6.0;79.7104;LFF;BLA;Priority;dataset-LargeVF
2380;h_5;5.0;79.5549;LFF;BLA;Priority;dataset-LargeVF
2380;h_4;4.0;79.5549;LFF;BLA;Priority;dataset-LargeVF
2380;h_3;3.0;79.5539;LFF;BLA;Priority;dataset-LargeVF
2380;h_2;2.0;79.6541;LFF;BLA;Priority;dataset-LargeVF
2380;h_1;1.0;79.5972;LFF;BLA;Priority;dataset-LargeVF
2380;h_0;0.0;79.5667;LFF;BLA;Priority;dataset-LargeVF
2380;h_19;19.0;80.0752;LFF;BLA;Priority;dataset-LargeVF
2380;h_18;18.0;80.0752;LFF;BLA;Priority;dataset-LargeVF
2380;h_17;17.0;80.0818;LFF;BLA;Priority;dataset-LargeVF
2380;h_16;16.0;80.0752;LFF;BLA;Priority;dataset-LargeVF
2380;h_15;15.0;80.0818;LFF;BLA;Priority;dataset-LargeVF
2380;h_14;14.0;80.0712;LFF;BLA;Priority;dataset-LargeVF
2380;h_13;13.0;79.7124;LFF;BLA;Priority;dataset-LargeVF
2380;h_12;12.0;79.7157;LFF;BLA;Priority;dataset-LargeVF
2380;h_11;11.0;79.7124;LFF;BLA;Priority;dataset-LargeVF
2380;h_10;10.0;79.7104;LFF;BLA;Priority;dataset-LargeVF
2380;h_9;9.0;79.5549;LFF;BLA;Priority;dataset-LargeVF
2380;h_8;8.0;79.5549;LFF;BLA;Priority;dataset-LargeVF
2380;h_7;7.0;79.7124;LFF;BLA;Priority;dataset-LargeVF
2380;h_6;6.0;79.7104;LFF;BLA;Priority;dataset-LargeVF
2380;h_5;5.0;79.5549;LFF;BLA;Priority;dataset-LargeVF
2380;h_4;4.0;79.5549;LFF;BLA;Priority;dataset-LargeVF
2380;h_3;3.0;79.5539;LFF;BLA;Priority;dataset-LargeVF
2380;h_2;2.0;79.6541;LFF;BLA;Priority;dataset-LargeVF
2380;h_1;1.0;79.5972;LFF;BLA;Priority;dataset-LargeVF
2380;h_0;0.0;79.5667;LFF;BLA;Priority;dataset-LargeVF
2383;h_19;19.0;80.0752;LFF;BLA;Priority;dataset-LargeVF
2383;h_18;18.0;80.0752;LFF;BLA;Priority;dataset-LargeVF
2383;h_17;17.0;80.0818;LFF;BLA;Priority;dataset-LargeVF
2383;h_16;16.0;80.0752;LFF;BLA;Priority;dataset-LargeVF
2383;h_15;15.0;80.0818;LFF;BLA;Priority;dataset-LargeVF
2383;h_14;14.0;80.0712;LFF;BLA;Priority;dataset-LargeVF
2383;h_13;13.0;79.7124;LFF;BLA;Priority;dataset-LargeVF
2383;h_12;12.0;79.7157;LFF;BLA;Priority;dataset-LargeVF
2383;h_11;11.0;79.7124;LFF;BLA;Priority;dataset-LargeVF
2383;h_10;10.0;79.7104;LFF;BLA;Priority;dataset-LargeVF
2383;h_9;9.0;79.5549;LFF;BLA;Priority;dataset-LargeVF
2383;h_8;8.0;79.5549;LFF;BLA;Priority;dataset-LargeVF
2383;h_7;7.0;79.7124;LFF;BLA;Priority;dataset-LargeVF
2383;h_6;6.0;79.7104;LFF;BLA;Priority;dataset-LargeVF
2383;h_5;5.0;79.5549;LFF;BLA;Priority;dataset-LargeVF
2383;h_4;4.0;79.5549;LFF;BLA;Priority;dataset-LargeVF
2383;h_3;3.0;79.5539;LFF;BLA;Priority;dataset-LargeVF
2383;h_2;2.0;79.6541;LFF;BLA;Priority;dataset-LargeVF
2383;h_1;1.0;79.5972;LFF;BLA;Priority;dataset-LargeVF
2383;h_0;0.0;79.5667;LFF;BLA;Priority;dataset-LargeVF
2383;h_19;19.0;80.0752;LFF;BLA;Priority;dataset-LargeVF
2383;h_18;18.0;80.0752;LFF;BLA;Priority;dataset-LargeVF
2383;h_17;17.0;80.0818;LFF;BLA;Priority;dataset-LargeVF
2383;h_16;16.0;80.0752;LFF;BLA;Priority;dataset-LargeVF
2383;h_15;15.0;80.0818;LFF;BLA;Priority;dataset-LargeVF
2383;h_14;14.0;80.0712;LFF;BLA;Priority;dataset-LargeVF
2383;h_13;13.0;79.7124;LFF;BLA;Priority;dataset-LargeVF
2383;h_12;12.0;79.7157;LFF;BLA;Priority;dataset-LargeVF
2383;h_11;11.0;79.7124;LFF;BLA;Priority;dataset-LargeVF
2383;h_10;10.0;79.7104;LFF;BLA;Priority;dataset-LargeVF
2383;h_9;9.0;79.5549;LFF;BLA;Priority;dataset-LargeVF
