# units: time(s); hostId; cpu(%); ram(%); bw(%); energy(Wh)
320;4;3.1250;6.2500;5.0000;10.3446
320;3;0.7813;3.1250;4.0000;10.3401
320;2;1.5625;6.2500;6.0000;10.3426
320;1;0.7813;3.1250;2.0000;10.3399
320;0;0.7813;3.1250;2.5000;10.3400
330;5;6.2500;12.5000;10.0000;10.6857
330;4;3.1250;6.2500;5.0000;10.6782
330;3;0.7813;3.1250;4.0000;10.6735
330;2;1.5625;6.2500;6.0000;10.6762
330;1;0.7813;3.1250;2.0000;10.6733
330;0;0.7813;3.1250;2.5000;10.6734
340;5;6.2500;12.5000;10.0000;11.0195
340;4;3.1250;6.2500;5.0000;11.0118
340;3;0.7813;3.1250;4.0000;11.0069
340;2;1.5625;6.2500;6.0000;11.0097
340;1;0.7813;3.1250;2.0000;11.0068
340;0;0.7813;3.1250;2.5000;11.0068
350;5;6.2500;12.5000;10.0000;11.3533
350;4;3.1250;6.2500;5.0000;11.3453
350;3;0.7813;3.1250;4.0000;11.3404
350;2;1.5625;6.2500;6.0000;11.3432
350;1;0.7813;3.1250;2.0000;11.3402
350;0;0.7813;3.1250;2.5000;11.3402
360;5;6.2500;12.5000;10.0000;11.6871
360;4;3.1250;6.2500;5.0000;11.6789
360;3;0.7813;3.1250;4.0000;11.6738
360;2;1.5625;6.2500;6.0000;11.6767
360;1;0.7813;3.1250;2.0000;11.6736
360;0;0.7813;3.1250;2.5000;11.6736
370;5;6.2500;12.5000;10.0000;12.0209
370;4;3.1250;6.2500;5.0000;12.0125
370;3;0.7813;3.1250;4.0000;12.0072
370;2;1.5625;6.2500;6.0000;12.0102
370;1;0.7813;3.1250;2.0000;12.0070
370;0;0.7813;3.1250;2.5000;12.0071
380;5;6.2500;12.5000;10.0000;12.3547
380;4;3.1250;6.2500;5.0000;12.3460
380;3;0.7813;3.1250;4.0000;12.3406
380;2;1.5625;6.2500;6.0000;12.3437
380;1;0.7813;3.1250;2.0000;12.3404
380;0;0.7813;3.1250;2.5000;12.3405
390;5;6.2500;12.5000;10.0000;12.6885
390;4;3.1250;6.2500;5.0000;12.6796
390;3;0.7813;3.1250;4.0000;12.6740
390;2;1.5625;6.2500;6.0000;12.6772
390;1;0.7813;3.1250;2.0000;12.6738
390;0;0.7813;3.1250;2.5000;12.6739
400;5;6.2500;12.5000;10.0000;13.0223
400;4;3.1250;6.2500;5.0000;13.0132
400;3;0.7813;3.1250;4.0000;13.0075
