# units: time(s); hostId; cpu(%); ram(%); bw(%); energy(Wh)
260;10;1.5625;6.2500;5.0000;8.6710
260;9;1.1719;4.6875;5.0000;8.6700
260;8;6.2500;12.5000;10.0000;8.6789
260;7;1.5625;6.2500;5.0000;8.6710
260;6;1.9531;4.6875;4.0000;8.6708
260;5;6.2500;12.5000;10.0000;8.6789
260;4;0.7813;3.1250;4.0000;8.6690
260;3;1.1719;4.6875;4.5000;8.6700
260;2;1.5625;6.2500;4.0000;8.6710
260;1;3.1250;6.2500;5.0000;8.6728
260;0;1.9531;4.6875;4.5000;8.6709
270;11;1.5625;6.2500;6.0000;9.0046
270;10;1.5625;6.2500;5.0000;9.0045
270;9;1.1719;4.6875;5.0000;9.0035
270;8;6.2500;12.5000;10.0000;9.0127
270;7;1.5625;6.2500;5.0000;9.0045
270;6;1.9531;4.6875;4.0000;9.0043
270;5;6.2500;12.5000;10.0000;9.0127
270;4;0.7813;3.1250;4.0000;9.0024
270;3;1.1719;4.6875;4.5000;9.0034
270;2;1.5625;6.2500;4.0000;9.0044
270;1;3.1250;6.2500;5.0000;9.0063
270;0;1.9531;4.6875;4.5000;9.0044
280;11;1.5625;6.2500;6.0000;9.3381
280;10;1.5625;6.2500;5.0000;9.3380
280;9;1.1719;4.6875;5.0000;9.3369
280;8;6.2500;12.5000;10.0000;9.3465
280;7;1.5625;6.2500;5.0000;9.3380
280;6;1.9531;4.6875;4.0000;9.3378
280;5;6.2500;12.5000;10.0000;9.3465
280;4;0.7813;3.1250;4.0000;9.3358
280;3;1.1719;4.6875;4.5000;9.3369
280;2;1.5625;6.2500;4.0000;9.3379
280;1;3.1250;6.2500;5.0000;9.3399
280;0;1.9531;4.6875;4.5000;9.3378
290;11;1.5625;6.2500;6.0000;9.6716
290;10;1.5625;6.2500;5.0000;9.6715
290;9;1.1719;4.6875;5.0000;9.6704
290;8;6.2500;12.5000;10.0000;9.6803
290;7;1.5625;6.2500;5.0000;9.6715
290;6;1.9531;4.6875;4.0000;9.6713
290;5;6.2500;12.5000;10.0000;9.6803
290;4;0.7813;3.1250;4.0000;9.6692
290;3;1.1719;4.6875;4.5000;9.6704
290;2;1.5625;6.2500;4.0000;9.6714
290;1;3.1250;6.2500;5.0000;9.6735
290;0;1.9531;4.6875;4.5000;9.6713
300;11;1.5625;6.2500;6.0000;10.0051
300;10;1.5625;6.2500;5.0000;10.0050
300;9;1.1719;4.6875;5.0000;10.0039
300;8;6.2500;12.5000;10.0000;10.0141
300;7;1.5625;6.2500;5.0000;10.0050
300;6;1.9531;4.6875;4.0000;10.0048
300;5;6.2500;12.5000;10.0000;10.0141
300;4;0.7813;3.1250;4.0000;10.0026
300;3;1.1719;4.6875;4.5000;10.0038
300;2;1.5625;6.2500;4.0000;10.0049
300;1;3.1250;6.2500;5.0000;10.0070
300;0;1.9531;4.6875;4.5000;10.0048
310;11;1.5625;6.2500;6.0000;10.3386
310;10;1.5625;6.2500;5.0000;10.3385
310;9;1.1719;4.6875;5.0000;10.3373
310;8;6.2500;12.5000;10.0000;10.3479
310;7;1.5625;6.2500;5.0000;10.3385
310;6;1.9531;4.6875;4.0000;10.3383
310;5;6.2500;12.5000;10.0000;10.3479
310;4;0.7813;3.1250;4.0000;10.3361
310;3;1.1719;4.6875;4.5000;10.3373
310;2;1.5625;6.2500;4.0000;10.3384
