# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
90.00;4;0.78;3.13;4.00;0.3334
90.00;3;1.17;4.69;4.50;0.3335
90.00;2;1.56;6.25;4.00;0.3335
90.00;1;3.13;6.25;5.00;0.3336
90.00;0;1.95;4.69;4.50;0.3335
90.00;11;1.56;6.25;19.20;0.0699
90.00;10;1.56;6.25;7.44;0.0697
90.00;9;1.17;4.69;8.00;0.0697
90.00;8;6.25;12.50;13.60;0.0701
90.00;7;1.56;6.25;13.68;0.0698
90.00;6;1.95;4.69;11.48;0.0698
90.00;5;6.25;12.50;11.52;0.0701
90.00;4;0.78;3.13;1.60;0.0696
90.00;3;1.17;4.69;3.56;0.0696
90.00;2;1.56;6.25;2.72;0.0697
90.00;1;3.13;6.25;3.36;0.0697
90.00;0;1.95;4.69;0.48;0.0696
100.00;11;1.56;6.25;6.00;0.3335
100.00;10;1.56;6.25;5.00;0.3335
100.00;9;1.17;4.69;5.00;0.3335
100.00;8;6.25;12.50;10.00;0.3338
100.00;7;1.56;6.25;5.00;0.3335
100.00;6;1.95;4.69;4.00;0.3335
100.00;5;6.25;12.50;10.00;0.3338
100.00;4;0.78;3.13;4.00;0.3334
100.00;3;1.17;4.69;4.50;0.3335
100.00;2;1.56;6.25;4.00;0.3335
100.00;1;3.13;6.25;5.00;0.3336
100.00;0;1.95;4.69;4.50;0.3335
100.00;11;1.56;6.25;10.24;0.0698
100.00;10;1.56;6.25;2.72;0.0697
100.00;9;1.17;4.69;4.80;0.0697
100.00;8;6.25;12.50;3.68;0.0700
100.00;7;1.56;6.25;3.52;0.0697
100.00;6;1.95;4.69;4.72;0.0697
100.00;5;6.25;12.50;4.16;0.0700
100.00;4;0.78;3.13;0.00;0.0695
100.00;3;1.17;4.69;4.36;0.0696
100.00;2;1.56;6.25;22.40;0.0699
100.00;1;3.13;6.25;0.48;0.0697
100.00;0;1.95;4.69;0.00;0.0696
110.00;11;1.56;6.25;6.00;0.3335
110.00;10;1.56;6.25;5.00;0.3335
110.00;9;1.17;4.69;5.00;0.3335
110.00;8;6.25;12.50;10.00;0.3338
110.00;7;1.56;6.25;5.00;0.3335
110.00;6;1.95;4.69;4.00;0.3335
110.00;5;6.25;12.50;10.00;0.3338
110.00;4;0.78;3.13;4.00;0.3334
110.00;3;1.17;4.69;4.50;0.3335
110.00;2;1.56;6.25;4.00;0.3335
110.00;1;3.13;6.25;5.00;0.3336
110.00;0;1.95;4.69;4.50;0.3335
110.00;11;1.56;6.25;17.92;0.0699
110.00;10;1.56;6.25;8.24;0.0697
110.00;9;1.17;4.69;2.52;0.0696
110.00;8;6.25;12.50;11.36;0.0701
110.00;7;1.56;6.25;8.80;0.0698
110.00;6;1.95;4.69;3.48;0.0697
110.00;5;6.25;12.50;0.96;0.0699
110.00;4;0.78;3.13;6.40;0.0696
110.00;3;1.17;4.69;4.80;0.0697
110.00;2;1.56;6.25;7.04;0.0697
110.00;1;3.13;6.25;4.00;0.0697
110.00;0;1.95;4.69;8.40;0.0697
120.00;11;1.56;6.25;6.00;0.3335
120.00;10;1.56;6.25;5.00;0.3335
120.00;9;1.17;4.69;5.00;0.3335
120.00;8;6.25;12.50;10.00;0.3338
120.00;7;1.56;6.25;5.00;0.3335
120.00;6;1.95;4.69;4.00;0.3335
120.00;5;6.25;12.50;10.00;0.3338
120.00;4;0.78;3.13;4.00;0.3334
120.00;3;1.17;4.69;4.50;0.3335
120.00;2;1.56;6.25;4.00;0.3335
120.00;1;3.13;6.25;5.00;0.3336
120.00;0;1.95;4.69;4.50;0.3335
120.00;11;1.56;6.25;11.52;0.0698
120.00;10;1.56;6.25;12.80;0.0698
120.00;9;1.17;4.69;4.08;0.0696
120.00;8;6.25;12.50;19.36;0.0702
120.00;7;1.56;6.25;16.08;0.0699
120.00;6;1.95;4.69;8.44;0.0697
120.00;5;6.25;12.50;0.00;0.0699
120.00;4;0.78;3.13;0.00;0.0695
120.00;3;1.17;4.69;7.44;0.0697
120.00;2;1.56;6.25;12.64;0.0698
120.00;1;3.13;6.25;1.92;0.0697
120.00;0;1.95;4.69;5.20;0.0697
130.00;11;1.56;6.25;6.00;0.3335
130.00;10;1.56;6.25;5.00;0.3335
130.00;9;1.17;4.69;5.00;0.3335
130.00;8;6.25;12.50;10.00;0.3338
