0;1;2;3;4;5;6;7;8;9;10;vm_policy;link_policy;wf_policy
50;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;404.0;21.64;160.3576;1839.6423;1999.9999;True;LFF;BLA;Priority
50;h_2;h_0;h_2->edge1->agg1->core0->agg0->edge0->h_0;1000.0;316.0;14.11;800.3374;8499.6625;9299.9999;True;LFF;BLA;Priority
60;h_2;h_5;h_2->edge1->agg1->edge2->h_5;1000.0;144.0;8.64;160.2213;7939.7787;8099.9999;True;LFF;BLA;Priority
60;h_2;h_4;h_2->edge1->agg1->edge2->h_4;1000.0;144.0;8.64;400.2213;399.7787;800.0;True;LFF;BLA;Priority
60;h_2;h_2;h_2->(LOCAL)->h_2;10000.0;0.0;0.0;0.0;8600.0;8600.0;True;LFF;BLA;Priority
60;h_2;h_2;h_2->(LOCAL)->h_2;10000.0;0.0;0.0;0.0;5699.9999;5699.9999;True;LFF;BLA;Priority
60;h_0;h_0;h_0->(LOCAL)->h_0;10000.0;0.0;0.0;0.0;7399.9999;7399.9999;True;LFF;BLA;Priority
60;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0;436.0;18.45;160.3374;6439.6625;6599.9999;True;LFF;BLA;Priority
60;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;474.67;23.94;80.3576;4119.6423;4199.9999;True;LFF;BLA;Priority
60;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;501.33;26.6;800.3576;2499.6423;3299.9999;True;LFF;BLA;Priority
60;h_1;h_0;h_1->edge0->h_0;1000.0;438.0;43.8;160.1;2439.8999;2599.9999;True;LFF;BLA;Priority
60;h_0;h_0;h_0->(LOCAL)->h_0;10000.0;0.0;0.0;0.0;1700.0;1700.0;True;LFF;BLA;Priority
60;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;474.67;23.94;40.3576;159.6423;199.9999;True;LFF;BLA;Priority
60;h_0;h_0;h_0->(LOCAL)->h_0;10000.0;0.0;0.0;0.0;9500.0;9500.0;True;LFF;BLA;Priority
60;h_2;h_0;h_2->edge1->agg1->core0->agg0->edge0->h_0;1000.0;484.0;23.25;800.3374;4299.6626;5099.9999;True;LFF;BLA;Priority
70;h_0;h_2;h_0->edge0->agg0->core0->agg1->edge1->h_2;1000.0;0.0;0.0;800.3374;3199.6625;3999.9999;True;LFF;BLA;Priority
70;h_2;h_2;h_2->(LOCAL)->h_2;10000.0;0.0;0.0;0.0;199.9999;199.9999;True;LFF;BLA;Priority
70;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;313.33;16.11;800.3576;7899.6423;8699.9999;True;LFF;BLA;Priority
70;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0;312.0;12.94;800.3374;6999.6626;7800.0;True;LFF;BLA;Priority
70;h_0;h_0;h_0->(LOCAL)->h_0;10000.0;0.0;0.0;0.0;6900.0;6900.0;True;LFF;BLA;Priority
70;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;290.67;13.84;800.3576;4099.6423;4899.9999;True;LFF;BLA;Priority
70;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;290.67;13.84;400.3576;2099.6423;2499.9999;True;LFF;BLA;Priority
70;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;290.67;13.84;800.3576;399.6423;1199.9999;True;LFF;BLA;Priority
70;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;290.67;13.84;600.3576;8999.6423;9600.0;True;LFF;BLA;Priority
70;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0;312.0;12.94;800.3374;5499.6626;6300.0;True;LFF;BLA;Priority
70;h_1;h_0;h_1->edge0->h_0;1000.0;220.0;22.0;800.1;2199.8999;3000.0;True;LFF;BLA;Priority
70;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0;312.0;12.94;40.3374;1859.6626;1899.9999;True;LFF;BLA;Priority
70;h_2;h_0;h_2->edge1->agg1->core0->agg0->edge0->h_0;1000.0;378.67;19.61;80.3374;5519.6626;5600.0;True;LFF;BLA;Priority
80;h_0;h_4;h_0->edge0->agg0->core0->agg1->edge2->h_4;1000.0;146.67;6.36;160.3576;8739.6423;8900.0;True;LFF;BLA;Priority
80;h_0;h_5;h_0->edge0->agg0->core0->agg1->edge2->h_5;1000.0;146.67;6.36;800.3576;6599.6423;7399.9999;True;LFF;BLA;Priority
80;h_2;h_4;h_2->edge1->agg1->edge2->h_4;1000.0;80.0;2.72;40.2213;5959.7786;5999.9999;True;LFF;BLA;Priority
80;h_0;h_2;h_0->edge0->agg0->core0->agg1->edge1->h_2;1000.0;313.33;16.36;80.3374;3619.6626;3699.9999;True;LFF;BLA;Priority
80;h_2;h_2;h_2->(LOCAL)->h_2;10000.0;0.0;0.0;0.0;6600.0;6600.0;True;LFF;BLA;Priority
80;h_0;h_1;h_0->edge0->h_1;1000.0;110.0;11.0;800.1;8799.8999;9600.0;True;LFF;BLA;Priority
80;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;669.33;38.07;160.3576;5139.6423;5300.0;True;LFF;BLA;Priority
80;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;609.33;32.07;600.3576;4099.6423;4700.0;True;LFF;BLA;Priority
80;h_0;h_0;h_0->(LOCAL)->h_0;10000.0;0.0;0.0;0.0;8400.0;8400.0;True;LFF;BLA;Priority
10;h_2;h_4;h_2->edge1->agg1->edge2->h_4;1000.0;0.0;0.0;800.2213;8109.7787;8910.0;True;LFF;BLA;PSO
10;h_0;h_4;h_0->edge0->agg0->core0->agg1->edge2->h_4;1000.0;0.0;0.0;40.3576;8859.6424;8900.0;True;LFF;BLA;PSO
10;h_2;h_5;h_2->edge1->agg1->edge2->h_5;1000.0;0.0;0.0;400.2213;8449.7787;8850.0;True;LFF;BLA;PSO
10;h_0;h_5;h_0->edge0->agg0->core0->agg1->edge2->h_5;1000.0;0.0;0.0;800.3576;7839.6423;8640.0;True;LFF;BLA;PSO
10;h_2;h_5;h_2->edge1->agg1->edge2->h_5;1000.0;0.0;0.0;400.2213;8229.7787;8630.0;True;LFF;BLA;PSO
10;h_2;h_4;h_2->edge1->agg1->edge2->h_4;1000.0;0.0;0.0;40.2213;8529.7787;8570.0;True;LFF;BLA;PSO
10;h_2;h_4;h_2->edge1->agg1->edge2->h_4;1000.0;0.0;0.0;40.2213;8489.7787;8530.0;True;LFF;BLA;PSO
10;h_2;h_4;h_2->edge1->agg1->edge2->h_4;1000.0;0.0;0.0;400.2213;8099.7787;8500.0;True;LFF;BLA;PSO
10;h_0;h_4;h_0->edge0->agg0->core0->agg1->edge2->h_4;1000.0;0.0;0.0;80.3576;8399.6423;8479.9999;True;LFF;BLA;PSO
10;h_2;h_5;h_2->edge1->agg1->edge2->h_5;1000.0;0.0;0.0;160.2213;8299.7787;8459.9999;True;LFF;BLA;PSO
10;h_0;h_4;h_0->edge0->agg0->core0->agg1->edge2->h_4;1000.0;0.0;0.0;80.3576;8129.6423;8209.9999;True;LFF;BLA;PSO
10;h_0;h_5;h_0->edge0->agg0->core0->agg1->edge2->h_5;1000.0;0.0;0.0;600.3576;7559.6423;8159.9999;True;LFF;BLA;PSO
10;h_0;h_5;h_0->edge0->agg0->core0->agg1->edge2->h_5;1000.0;0.0;0.0;400.3576;7749.6423;8149.9999;True;LFF;BLA;PSO
10;h_0;h_4;h_0->edge0->agg0->core0->agg1->edge2->h_4;1000.0;0.0;0.0;160.3576;7969.6423;8129.9999;True;LFF;BLA;PSO
10;h_0;h_5;h_0->edge0->agg0->core0->agg1->edge2->h_5;1000.0;0.0;0.0;400.3576;7649.6423;8049.9999;True;LFF;BLA;PSO
10;h_0;h_5;h_0->edge0->agg0->core0->agg1->edge2->h_5;1000.0;0.0;0.0;400.3576;7639.6423;8039.9999;True;LFF;BLA;PSO
10;h_0;h_2;h_0->edge0->agg0->core0->agg1->edge1->h_2;1000.0;0.0;0.0;800.3374;8159.6626;8960.0;True;LFF;BLA;PSO
10;h_0;h_2;h_0->edge0->agg0->core0->agg1->edge1->h_2;1000.0;0.0;0.0;800.3374;7949.6626;8750.0;True;LFF;BLA;PSO
10;h_0;h_2;h_0->edge0->agg0->core0->agg1->edge1->h_2;1000.0;0.0;0.0;80.3374;8629.6626;8710.0;True;LFF;BLA;PSO
10;h_0;h_2;h_0->edge0->agg0->core0->agg1->edge1->h_2;1000.0;0.0;0.0;400.3374;7949.6625;8349.9999;True;LFF;BLA;PSO
10;h_2;h_2;h_2->(LOCAL)->h_2;10000.0;0.0;0.0;0.0;8880.0;8880.0;True;LFF;BLA;PSO
10;h_2;h_2;h_2->(LOCAL)->h_2;10000.0;0.0;0.0;0.0;8620.0;8620.0;True;LFF;BLA;PSO
10;h_2;h_2;h_2->(LOCAL)->h_2;10000.0;0.0;0.0;0.0;8299.9999;8299.9999;True;LFF;BLA;PSO
10;h_2;h_2;h_2->(LOCAL)->h_2;10000.0;0.0;0.0;0.0;8259.9999;8259.9999;True;LFF;BLA;PSO
10;h_2;h_2;h_2->(LOCAL)->h_2;10000.0;0.0;0.0;0.0;8179.9999;8179.9999;True;LFF;BLA;PSO
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;400.3576;8549.6424;8950.0;True;LFF;BLA;PSO
10;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;800.3576;8119.6424;8920.0;True;LFF;BLA;PSO
10;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;40.3576;8819.6424;8860.0;True;LFF;BLA;PSO
10;h_1;h_0;h_1->edge0->h_0;1000.0;0.0;0.0;400.1;8389.8999;8790.0;True;LFF;BLA;PSO
10;h_1;h_0;h_1->edge0->h_0;1000.0;0.0;0.0;40.1;8719.8999;8760.0;True;LFF;BLA;PSO
10;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;800.3576;7939.6423;8740.0;True;LFF;BLA;PSO
10;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;800.3576;7929.6423;8730.0;True;LFF;BLA;PSO
10;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;400.3576;8289.6423;8690.0;True;LFF;BLA;PSO
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0;0.0;0.0;0.0;8600.0;8600.0;True;LFF;BLA;PSO
10;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;800.3374;7789.6626;8590.0;True;LFF;BLA;PSO
10;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;400.3374;8159.6626;8560.0;True;LFF;BLA;PSO
10;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;800.3374;7559.6625;8359.9999;True;LFF;BLA;PSO
10;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;40.3374;8289.6625;8329.9999;True;LFF;BLA;PSO
10;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;600.3374;7669.6625;8269.9999;True;LFF;BLA;PSO
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;400.3576;7839.6423;8239.9999;True;LFF;BLA;PSO
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;600.3576;7619.6423;8219.9999;True;LFF;BLA;PSO
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;400.3576;7789.6423;8189.9999;True;LFF;BLA;PSO
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;40.3576;8129.6423;8169.9999;True;LFF;BLA;PSO
10;h_1;h_0;h_1->edge0->h_0;1000.0;0.0;0.0;800.1;7309.8999;8109.9999;True;LFF;BLA;PSO
10;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;40.3374;8059.6625;8099.9999;True;LFF;BLA;PSO
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;800.3576;7279.6423;8079.9999;True;LFF;BLA;PSO
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;80.3576;7949.6423;8029.9999;True;LFF;BLA;PSO
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;800.3576;7219.6423;8019.9999;True;LFF;BLA;PSO
10;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;80.3576;7929.6423;8009.9999;True;LFF;BLA;PSO
10;h_0;h_1;h_0->edge0->h_1;1000.0;0.0;0.0;160.1;8839.9;9000.0;True;LFF;BLA;PSO
10;h_2;h_1;h_2->edge1->agg1->core0->agg0->edge0->h_1;1000.0;0.0;0.0;40.3374;8899.6626;8940.0;True;LFF;BLA;PSO
10;h_2;h_1;h_2->edge1->agg1->core0->agg0->edge0->h_1;1000.0;0.0;0.0;600.3374;8239.6626;8840.0;True;LFF;BLA;PSO
10;h_2;h_1;h_2->edge1->agg1->core0->agg0->edge0->h_1;1000.0;0.0;0.0;40.3374;8679.6626;8720.0;True;LFF;BLA;PSO
10;h_0;h_1;h_0->edge0->h_1;1000.0;0.0;0.0;800.1;7749.8999;8550.0;True;LFF;BLA;PSO
10;h_0;h_1;h_0->edge0->h_1;1000.0;0.0;0.0;80.1;8359.8999;8439.9999;True;LFF;BLA;PSO
10;h_2;h_1;h_2->edge1->agg1->core0->agg0->edge0->h_1;1000.0;0.0;0.0;800.3374;7509.6625;8309.9999;True;LFF;BLA;PSO
10;h_2;h_1;h_2->edge1->agg1->core0->agg0->edge0->h_1;1000.0;0.0;0.0;40.3374;8189.6625;8229.9999;True;LFF;BLA;PSO
10;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;400.3576;8579.6424;8980.0;True;LFF;BLA;PSO
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;600.3576;8369.6424;8970.0;True;LFF;BLA;PSO
10;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;800.3576;8129.6424;8930.0;True;LFF;BLA;PSO
10;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;40.3374;8849.6626;8890.0;True;LFF;BLA;PSO
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;160.3576;8669.6423;8830.0;True;LFF;BLA;PSO
10;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;40.3576;8779.6423;8820.0;True;LFF;BLA;PSO
10;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;160.3576;8649.6423;8810.0;True;LFF;BLA;PSO
10;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;800.3576;7999.6423;8800.0;True;LFF;BLA;PSO
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;600.3576;8179.6423;8780.0;True;LFF;BLA;PSO
10;h_1;h_0;h_1->edge0->h_0;1000.0;0.0;0.0;160.1;8609.8999;8770.0;True;LFF;BLA;PSO
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0;0.0;0.0;0.0;8680.0;8680.0;True;LFF;BLA;PSO
10;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;40.3374;8629.6626;8670.0;True;LFF;BLA;PSO
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;80.3576;8579.6423;8660.0;True;LFF;BLA;PSO
10;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;800.3374;7849.6626;8650.0;True;LFF;BLA;PSO
10;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;160.3374;8449.6626;8610.0;True;LFF;BLA;PSO
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;40.3576;8539.6423;8580.0;True;LFF;BLA;PSO
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;400.3576;8139.6423;8540.0;True;LFF;BLA;PSO
10;h_1;h_0;h_1->edge0->h_0;1000.0;0.0;0.0;800.1;7719.8999;8520.0;True;LFF;BLA;PSO
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;600.3576;7909.6423;8510.0;True;LFF;BLA;PSO
10;h_1;h_0;h_1->edge0->h_0;1000.0;0.0;0.0;800.1;7689.8999;8489.9999;True;LFF;BLA;PSO
10;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;160.3374;8309.6626;8469.9999;True;LFF;BLA;PSO
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0;0.0;0.0;0.0;8449.9999;8449.9999;True;LFF;BLA;PSO
10;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;0.0;0.0;600.3576;7829.6423;8429.9999;True;LFF;BLA;PSO
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0;0.0;0.0;0.0;8419.9999;8419.9999;True;LFF;BLA;PSO
