0;1;2;vm_policy;link_policy;wf_policy
520;9;9.4507;LFF;BLA;Priority
520;8;9.4507;LFF;BLA;Priority
520;7;9.4507;LFF;BLA;Priority
520;6;9.4507;LFF;BLA;Priority
530;12;9.6359;LFF;BLA;Priority
530;11;9.6359;LFF;BLA;Priority
530;10;9.6359;LFF;BLA;Priority
530;9;9.6359;LFF;BLA;Priority
530;8;9.6359;LFF;BLA;Priority
530;7;9.6359;LFF;BLA;Priority
530;6;9.6359;LFF;BLA;Priority
540;12;9.8212;LFF;BLA;Priority
540;11;9.8212;LFF;BLA;Priority
540;10;9.8212;LFF;BLA;Priority
540;9;9.8212;LFF;BLA;Priority
540;8;9.8212;LFF;BLA;Priority
540;7;9.8212;LFF;BLA;Priority
540;6;9.8212;LFF;BLA;Priority
550;12;10.0065;LFF;BLA;Priority
550;11;10.0065;LFF;BLA;Priority
550;10;10.0065;LFF;BLA;Priority
550;9;10.0065;LFF;BLA;Priority
550;8;10.0065;LFF;BLA;Priority
550;7;10.0065;LFF;BLA;Priority
550;6;10.0065;LFF;BLA;Priority
560;12;10.1918;LFF;BLA;Priority
560;11;10.1918;LFF;BLA;Priority
560;10;10.1918;LFF;BLA;Priority
560;9;10.1918;LFF;BLA;Priority
560;8;10.1918;LFF;BLA;Priority
560;7;10.1918;LFF;BLA;Priority
560;6;10.1918;LFF;BLA;Priority
570;12;10.3771;LFF;BLA;Priority
570;11;10.3771;LFF;BLA;Priority
570;10;10.3771;LFF;BLA;Priority
570;9;10.3771;LFF;BLA;Priority
570;8;10.3771;LFF;BLA;Priority
570;7;10.3771;LFF;BLA;Priority
570;6;10.3771;LFF;BLA;Priority
580;12;10.5623;LFF;BLA;Priority
580;11;10.5623;LFF;BLA;Priority
580;10;10.5623;LFF;BLA;Priority
580;9;10.5623;LFF;BLA;Priority
580;8;10.5623;LFF;BLA;Priority
580;7;10.5623;LFF;BLA;Priority
580;6;10.5623;LFF;BLA;Priority
590;12;10.7476;LFF;BLA;Priority
590;11;10.7476;LFF;BLA;Priority
590;10;10.7476;LFF;BLA;Priority
590;9;10.7476;LFF;BLA;Priority
590;8;10.7476;LFF;BLA;Priority
590;7;10.7476;LFF;BLA;Priority
590;6;10.7476;LFF;BLA;Priority
600;12;10.9329;LFF;BLA;Priority
600;11;10.9329;LFF;BLA;Priority
600;10;10.9329;LFF;BLA;Priority
600;9;10.9329;LFF;BLA;Priority
600;8;10.9329;LFF;BLA;Priority
600;7;10.9329;LFF;BLA;Priority
600;6;10.9329;LFF;BLA;Priority
610;12;11.1182;LFF;BLA;Priority
610;11;11.1182;LFF;BLA;Priority
610;10;11.1182;LFF;BLA;Priority
610;9;11.1182;LFF;BLA;Priority
610;8;11.1182;LFF;BLA;Priority
610;7;11.1182;LFF;BLA;Priority
610;6;11.1182;LFF;BLA;Priority
620;12;11.3034;LFF;BLA;Priority
620;11;11.3034;LFF;BLA;Priority
620;10;11.3034;LFF;BLA;Priority
620;9;11.3034;LFF;BLA;Priority
620;8;11.3034;LFF;BLA;Priority
620;7;11.3034;LFF;BLA;Priority
620;6;11.3034;LFF;BLA;Priority
630;12;11.4887;LFF;BLA;Priority
