0;1;2;vm_policy;link_policy;wf_policy
620;5;4;LFF;BLA;Priority
620;4;5;LFF;BLA;Priority
620;3;6|7;LFF;BLA;Priority
620;2;3;LFF;BLA;Priority
620;1;1;LFF;BLA;Priority
620;0;2|0;LFF;BLA;Priority
630;5;4;LFF;BLA;Priority
630;4;5;LFF;BLA;Priority
630;3;6|7;LFF;BLA;Priority
630;2;3;LFF;BLA;Priority
630;1;1;LFF;BLA;Priority
630;0;2|0;LFF;BLA;Priority
640;5;4;LFF;BLA;Priority
640;4;5;LFF;BLA;Priority
640;3;6|7;LFF;BLA;Priority
640;2;3;LFF;BLA;Priority
640;1;1;LFF;BLA;Priority
640;0;2|0;LFF;BLA;Priority
650;5;4;LFF;BLA;Priority
650;4;5;LFF;BLA;Priority
650;3;6|7;LFF;BLA;Priority
650;2;3;LFF;BLA;Priority
650;1;1;LFF;BLA;Priority
650;0;2|0;LFF;BLA;Priority
660;5;4;LFF;BLA;Priority
660;4;5;LFF;BLA;Priority
660;3;6|7;LFF;BLA;Priority
660;2;3;LFF;BLA;Priority
660;1;1;LFF;BLA;Priority
660;0;2|0;LFF;BLA;Priority
670;5;4;LFF;BLA;Priority
670;4;5;LFF;BLA;Priority
670;3;6|7;LFF;BLA;Priority
670;2;3;LFF;BLA;Priority
670;1;1;LFF;BLA;Priority
670;0;2|0;LFF;BLA;Priority
680;5;4;LFF;BLA;Priority
680;4;5;LFF;BLA;Priority
680;3;6|7;LFF;BLA;Priority
680;2;3;LFF;BLA;Priority
680;1;1;LFF;BLA;Priority
680;0;2|0;LFF;BLA;Priority
690;5;4;LFF;BLA;Priority
690;4;5;LFF;BLA;Priority
690;3;6|7;LFF;BLA;Priority
690;2;3;LFF;BLA;Priority
690;1;1;LFF;BLA;Priority
690;0;2|0;LFF;BLA;Priority
700;5;4;LFF;BLA;Priority
700;4;5;LFF;BLA;Priority
700;3;6|7;LFF;BLA;Priority
700;2;3;LFF;BLA;Priority
700;1;1;LFF;BLA;Priority
700;0;2|0;LFF;BLA;Priority
710;5;4;LFF;BLA;Priority
710;4;5;LFF;BLA;Priority
710;3;6|7;LFF;BLA;Priority
710;2;3;LFF;BLA;Priority
710;1;1;LFF;BLA;Priority
710;0;2|0;LFF;BLA;Priority
720;5;4;LFF;BLA;Priority
720;4;5;LFF;BLA;Priority
720;3;6|7;LFF;BLA;Priority
720;2;3;LFF;BLA;Priority
720;1;1;LFF;BLA;Priority
720;0;2|0;LFF;BLA;Priority
730;5;4;LFF;BLA;Priority
730;4;5;LFF;BLA;Priority
730;3;6|7;LFF;BLA;Priority
730;2;3;LFF;BLA;Priority
730;1;1;LFF;BLA;Priority
730;0;2|0;LFF;BLA;Priority
740;5;4;LFF;BLA;Priority
740;4;5;LFF;BLA;Priority
740;3;6|7;LFF;BLA;Priority
740;2;3;LFF;BLA;Priority
740;1;1;LFF;BLA;Priority
740;0;2|0;LFF;BLA;Priority
750;5;4;LFF;BLA;Priority
750;4;5;LFF;BLA;Priority
750;3;6|7;LFF;BLA;Priority
750;2;3;LFF;BLA;Priority
750;1;1;LFF;BLA;Priority
750;0;2|0;LFF;BLA;Priority
760;5;4;LFF;BLA;Priority
760;4;5;LFF;BLA;Priority
760;3;6|7;LFF;BLA;Priority
760;2;3;LFF;BLA;Priority
760;1;1;LFF;BLA;Priority
760;0;2|0;LFF;BLA;Priority
770;5;4;LFF;BLA;Priority
770;4;5;LFF;BLA;Priority
770;3;6|7;LFF;BLA;Priority
770;2;3;LFF;BLA;Priority
770;1;1;LFF;BLA;Priority
770;0;2|0;LFF;BLA;Priority
780;5;4;LFF;BLA;Priority
780;4;5;LFF;BLA;Priority
780;3;6|7;LFF;BLA;Priority
780;2;3;LFF;BLA;Priority
780;1;1;LFF;BLA;Priority
780;0;2|0;LFF;BLA;Priority
790;5;4;LFF;BLA;Priority
790;4;5;LFF;BLA;Priority
790;3;6|7;LFF;BLA;Priority
790;2;3;LFF;BLA;Priority
790;1;1;LFF;BLA;Priority
790;0;2|0;LFF;BLA;Priority
800;5;4;LFF;BLA;Priority
800;4;5;LFF;BLA;Priority
800;3;6|7;LFF;BLA;Priority
800;2;3;LFF;BLA;Priority
800;1;1;LFF;BLA;Priority
800;0;2|0;LFF;BLA;Priority
810;5;4;LFF;BLA;Priority
810;4;5;LFF;BLA;Priority
810;3;6|7;LFF;BLA;Priority
810;2;3;LFF;BLA;Priority
810;1;1;LFF;BLA;Priority
810;0;2|0;LFF;BLA;Priority
820;5;4;LFF;BLA;Priority
820;4;5;LFF;BLA;Priority
820;3;6|7;LFF;BLA;Priority
820;2;3;LFF;BLA;Priority
820;1;1;LFF;BLA;Priority
820;0;2|0;LFF;BLA;Priority
830;5;4;LFF;BLA;Priority
830;4;5;LFF;BLA;Priority
830;3;6|7;LFF;BLA;Priority
830;2;3;LFF;BLA;Priority
830;1;1;LFF;BLA;Priority
830;0;2|0;LFF;BLA;Priority
840;5;4;LFF;BLA;Priority
840;4;5;LFF;BLA;Priority
840;3;6|7;LFF;BLA;Priority
840;2;3;LFF;BLA;Priority
840;1;1;LFF;BLA;Priority
840;0;2|0;LFF;BLA;Priority
850;5;4;LFF;BLA;Priority
850;4;5;LFF;BLA;Priority
850;3;6|7;LFF;BLA;Priority
850;2;3;LFF;BLA;Priority
850;1;1;LFF;BLA;Priority
850;0;2|0;LFF;BLA;Priority
860;5;4;LFF;BLA;Priority
860;4;5;LFF;BLA;Priority
860;3;6|7;LFF;BLA;Priority
860;2;3;LFF;BLA;Priority
860;1;1;LFF;BLA;Priority
860;0;2|0;LFF;BLA;Priority
870;5;4;LFF;BLA;Priority
870;4;5;LFF;BLA;Priority
870;3;6|7;LFF;BLA;Priority
870;2;3;LFF;BLA;Priority
870;1;1;LFF;BLA;Priority
870;0;2|0;LFF;BLA;Priority
880;5;4;LFF;BLA;Priority
880;4;5;LFF;BLA;Priority
880;3;6|7;LFF;BLA;Priority
880;2;3;LFF;BLA;Priority
880;1;1;LFF;BLA;Priority
880;0;2|0;LFF;BLA;Priority
890;5;4;LFF;BLA;Priority
890;4;5;LFF;BLA;Priority
890;3;6|7;LFF;BLA;Priority
890;2;3;LFF;BLA;Priority
890;1;1;LFF;BLA;Priority
890;0;2|0;LFF;BLA;Priority
900;5;4;LFF;BLA;Priority
900;4;5;LFF;BLA;Priority
900;3;6|7;LFF;BLA;Priority
900;2;3;LFF;BLA;Priority
900;1;1;LFF;BLA;Priority
900;0;2|0;LFF;BLA;Priority
910;5;4;LFF;BLA;Priority
910;4;5;LFF;BLA;Priority
910;3;6|7;LFF;BLA;Priority
910;2;3;LFF;BLA;Priority
910;1;1;LFF;BLA;Priority
910;0;2|0;LFF;BLA;Priority
920;5;4;LFF;BLA;Priority
920;4;5;LFF;BLA;Priority
920;3;6|7;LFF;BLA;Priority
920;2;3;LFF;BLA;Priority
920;1;1;LFF;BLA;Priority
920;0;2|0;LFF;BLA;Priority
930;5;4;LFF;BLA;Priority
930;4;5;LFF;BLA;Priority
930;3;6|7;LFF;BLA;Priority
930;2;3;LFF;BLA;Priority
930;1;1;LFF;BLA;Priority
930;0;2|0;LFF;BLA;Priority
940;5;4;LFF;BLA;Priority
940;4;5;LFF;BLA;Priority
940;3;6|7;LFF;BLA;Priority
940;2;3;LFF;BLA;Priority
940;1;1;LFF;BLA;Priority
940;0;2|0;LFF;BLA;Priority
950;5;4;LFF;BLA;Priority
950;4;5;LFF;BLA;Priority
950;3;6|7;LFF;BLA;Priority
950;2;3;LFF;BLA;Priority
950;1;1;LFF;BLA;Priority
950;0;2|0;LFF;BLA;Priority
960;5;4;LFF;BLA;Priority
960;4;5;LFF;BLA;Priority
960;3;6|7;LFF;BLA;Priority
960;2;3;LFF;BLA;Priority
960;1;1;LFF;BLA;Priority
960;0;2|0;LFF;BLA;Priority
970;5;4;LFF;BLA;Priority
970;4;5;LFF;BLA;Priority
970;3;6|7;LFF;BLA;Priority
970;2;3;LFF;BLA;Priority
970;1;1;LFF;BLA;Priority
970;0;2|0;LFF;BLA;Priority
980;5;4;LFF;BLA;Priority
980;4;5;LFF;BLA;Priority
980;3;6|7;LFF;BLA;Priority
980;2;3;LFF;BLA;Priority
980;1;1;LFF;BLA;Priority
980;0;2|0;LFF;BLA;Priority
990;5;4;LFF;BLA;Priority
990;4;5;LFF;BLA;Priority
990;3;6|7;LFF;BLA;Priority
990;2;3;LFF;BLA;Priority
990;1;1;LFF;BLA;Priority
990;0;2|0;LFF;BLA;Priority
1000;5;4;LFF;BLA;Priority
1000;4;5;LFF;BLA;Priority
1000;3;6|7;LFF;BLA;Priority
1000;2;3;LFF;BLA;Priority
1000;1;1;LFF;BLA;Priority
1000;0;2|0;LFF;BLA;Priority
1010;5;4;LFF;BLA;Priority
1010;4;5;LFF;BLA;Priority
1010;3;6|7;LFF;BLA;Priority
1010;2;3;LFF;BLA;Priority
1010;1;1;LFF;BLA;Priority
1010;0;2|0;LFF;BLA;Priority
1020;5;4;LFF;BLA;Priority
1020;4;5;LFF;BLA;Priority
1020;3;6|7;LFF;BLA;Priority
1020;2;3;LFF;BLA;Priority
1020;1;1;LFF;BLA;Priority
1020;0;2|0;LFF;BLA;Priority
1030;5;4;LFF;BLA;Priority
1030;4;5;LFF;BLA;Priority
1030;3;6|7;LFF;BLA;Priority
1030;2;3;LFF;BLA;Priority
1030;1;1;LFF;BLA;Priority
1030;0;2|0;LFF;BLA;Priority
1040;5;4;LFF;BLA;Priority
1040;4;5;LFF;BLA;Priority
