0;1;2;3;4;5;6;7;vm_policy;link_policy;wf_policy
timestamp;hostId;vmIds;cpu(%);ram(%);bw(%);policy;energy(W);LFF;BLA;Priority
230;h_5;4;6.2500;12.5000;10.0000;LFF;7.3463;LFF;BLA;Priority
230;h_4;5;3.1250;6.2500;5.0000;LFF;7.3412;LFF;BLA;Priority
230;h_3;6|7;0.7813;3.1250;4.0000;LFF;7.3380;LFF;BLA;Priority
230;h_2;3;1.5625;6.2500;6.0000;LFF;7.3398;LFF;BLA;Priority
230;h_1;1;0.7813;3.1250;2.0000;LFF;7.3378;LFF;BLA;Priority
230;h_0;2|0;0.7813;3.1250;2.5000;LFF;7.3379;LFF;BLA;Priority
240;h_5;4;6.2500;12.5000;10.0000;LFF;7.6801;LFF;BLA;Priority
240;h_4;5;3.1250;6.2500;5.0000;LFF;7.6747;LFF;BLA;Priority
240;h_3;6|7;0.7813;3.1250;4.0000;LFF;7.6714;LFF;BLA;Priority
240;h_2;3;1.5625;6.2500;6.0000;LFF;7.6733;LFF;BLA;Priority
240;h_1;1;0.7813;3.1250;2.0000;LFF;7.6713;LFF;BLA;Priority
240;h_0;2|0;0.7813;3.1250;2.5000;LFF;7.6713;LFF;BLA;Priority
250;h_5;4;6.2500;12.5000;10.0000;LFF;8.0139;LFF;BLA;Priority
250;h_4;5;3.1250;6.2500;5.0000;LFF;8.0083;LFF;BLA;Priority
250;h_3;6|7;0.7813;3.1250;4.0000;LFF;8.0048;LFF;BLA;Priority
250;h_2;3;1.5625;6.2500;6.0000;LFF;8.0068;LFF;BLA;Priority
250;h_1;1;0.7813;3.1250;2.0000;LFF;8.0047;LFF;BLA;Priority
250;h_0;2|0;0.7813;3.1250;2.5000;LFF;8.0047;LFF;BLA;Priority
260;h_5;4;6.2500;12.5000;10.0000;LFF;8.3477;LFF;BLA;Priority
260;h_4;5;3.1250;6.2500;5.0000;LFF;8.3419;LFF;BLA;Priority
260;h_3;6|7;0.7813;3.1250;4.0000;LFF;8.3382;LFF;BLA;Priority
260;h_2;3;1.5625;6.2500;6.0000;LFF;8.3403;LFF;BLA;Priority
260;h_1;1;0.7813;3.1250;2.0000;LFF;8.3381;LFF;BLA;Priority
260;h_0;2|0;0.7813;3.1250;2.5000;LFF;8.3381;LFF;BLA;Priority
