time;host_name;host_id;energy;vm_policy;link_policy;wf_policy
4053;h_0;0.0;135.1407;LFF;BLA;Priority
TOTAL;;;811.0973;LFF;BLA;Priority
4053;h_5;5.0;135.2967;LFF;BLA;Priority
4053;h_4;4.0;135.2017;LFF;BLA;Priority
4053;h_3;3.0;135.1424;LFF;BLA;Priority
4053;h_2;2.0;135.1757;LFF;BLA;Priority
4053;h_1;1.0;135.1401;LFF;BLA;Priority
4053;h_0;0.0;135.1407;LFF;BLA;Priority
TOTAL;;;811.0973;LFF;BLA;Priority
4073;h_5;5.0;135.9643;LFF;BLA;Priority
4073;h_4;4.0;135.8688;LFF;BLA;Priority
4073;h_3;3.0;135.8092;LFF;BLA;Priority
4073;h_2;2.0;135.8428;LFF;BLA;Priority
4073;h_1;1.0;135.8069;LFF;BLA;Priority
4073;h_0;0.0;135.8075;LFF;BLA;Priority
TOTAL;;;815.0995;LFF;BLA;Priority
4073;h_5;5.0;135.9643;LFF;BLA;Priority
4073;h_4;4.0;135.8688;LFF;BLA;Priority
4073;h_3;3.0;135.8092;LFF;BLA;Priority
4073;h_2;2.0;135.8428;LFF;BLA;Priority
4073;h_1;1.0;135.8069;LFF;BLA;Priority
4073;h_0;0.0;135.8075;LFF;BLA;Priority
TOTAL;;;815.0995;LFF;BLA;Priority
4073;h_5;5.0;135.9643;LFF;BLA;Priority
4073;h_4;4.0;135.8688;LFF;BLA;Priority
4073;h_3;3.0;135.8092;LFF;BLA;Priority
4073;h_2;2.0;135.8428;LFF;BLA;Priority
4073;h_1;1.0;135.8069;LFF;BLA;Priority
4073;h_0;0.0;135.8075;LFF;BLA;Priority
TOTAL;;;815.0995;LFF;BLA;Priority
4073;h_5;5.0;135.9643;LFF;BLA;Priority
4073;h_4;4.0;135.8688;LFF;BLA;Priority
4073;h_3;3.0;135.8092;LFF;BLA;Priority
4073;h_2;2.0;135.8428;LFF;BLA;Priority
4073;h_1;1.0;135.8069;LFF;BLA;Priority
4073;h_0;0.0;135.8075;LFF;BLA;Priority
TOTAL;;;815.0995;LFF;BLA;Priority
4083;h_5;5.0;136.2981;LFF;BLA;Priority
4083;h_4;4.0;136.2024;LFF;BLA;Priority
4083;h_3;3.0;136.1426;LFF;BLA;Priority
4083;h_2;2.0;136.1763;LFF;BLA;Priority
4083;h_1;1.0;136.1403;LFF;BLA;Priority
4083;h_0;0.0;136.1409;LFF;BLA;Priority
TOTAL;;;817.1007;LFF;BLA;Priority
3012;h_5;5.0;100.4785;LFF;BLA;PSO
3012;h_4;4.0;100.4079;LFF;BLA;PSO
3012;h_3;3.0;100.3638;LFF;BLA;PSO
3012;h_2;2.0;100.3886;LFF;BLA;PSO
3012;h_1;1.0;100.3622;LFF;BLA;PSO
3012;h_0;0.0;100.3626;LFF;BLA;PSO
TOTAL;;;602.3636;LFF;BLA;PSO
3012;h_5;5.0;100.4785;LFF;BLA;PSO
3012;h_4;4.0;100.4079;LFF;BLA;PSO
3012;h_3;3.0;100.3638;LFF;BLA;PSO
3012;h_2;2.0;100.3886;LFF;BLA;PSO
3012;h_1;1.0;100.3622;LFF;BLA;PSO
3012;h_0;0.0;100.3626;LFF;BLA;PSO
TOTAL;;;602.3636;LFF;BLA;PSO
3012;h_5;5.0;100.4785;LFF;BLA;PSO
3012;h_4;4.0;100.4079;LFF;BLA;PSO
3012;h_3;3.0;100.3638;LFF;BLA;PSO
3012;h_2;2.0;100.3886;LFF;BLA;PSO
3012;h_1;1.0;100.3622;LFF;BLA;PSO
3012;h_0;0.0;100.3626;LFF;BLA;PSO
TOTAL;;;602.3636;LFF;BLA;PSO
4010;h_5;5.0;133.86;LFF;BLA;PSO
4010;h_4;4.0;133.766;LFF;BLA;PSO
4010;h_3;3.0;133.7073;LFF;BLA;PSO
4010;h_2;2.0;133.7403;LFF;BLA;PSO
4010;h_1;1.0;133.7051;LFF;BLA;PSO
4010;h_0;0.0;133.7056;LFF;BLA;PSO
TOTAL;;;802.4844;LFF;BLA;PSO
4010;h_5;5.0;133.86;LFF;BLA;PSO
4010;h_4;4.0;133.766;LFF;BLA;PSO
4010;h_3;3.0;133.7073;LFF;BLA;PSO
4010;h_2;2.0;133.7403;LFF;BLA;PSO
4010;h_1;1.0;133.7051;LFF;BLA;PSO
4010;h_0;0.0;133.7056;LFF;BLA;PSO
TOTAL;;;802.4844;LFF;BLA;PSO
4010;h_5;5.0;133.86;LFF;BLA;PSO
4010;h_4;4.0;133.766;LFF;BLA;PSO
4010;h_3;3.0;133.7073;LFF;BLA;PSO
4010;h_2;2.0;133.7403;LFF;BLA;PSO
4010;h_1;1.0;133.7051;LFF;BLA;PSO
4010;h_0;0.0;133.7056;LFF;BLA;PSO
TOTAL;;;802.4844;LFF;BLA;PSO
4010;h_5;5.0;133.86;LFF;BLA;PSO
4010;h_4;4.0;133.766;LFF;BLA;PSO
4010;h_3;3.0;133.7073;LFF;BLA;PSO
4010;h_2;2.0;133.7403;LFF;BLA;PSO
4010;h_1;1.0;133.7051;LFF;BLA;PSO
4010;h_0;0.0;133.7056;LFF;BLA;PSO
TOTAL;;;802.4844;LFF;BLA;PSO
4010;h_5;5.0;133.86;LFF;BLA;PSO
4010;h_4;4.0;133.766;LFF;BLA;PSO
4010;h_3;3.0;133.7073;LFF;BLA;PSO
4010;h_2;2.0;133.7403;LFF;BLA;PSO
4010;h_1;1.0;133.7051;LFF;BLA;PSO
4010;h_0;0.0;133.7056;LFF;BLA;PSO
TOTAL;;;802.4844;LFF;BLA;PSO
4010;h_5;5.0;133.86;LFF;BLA;PSO
4010;h_4;4.0;133.766;LFF;BLA;PSO
4010;h_3;3.0;133.7073;LFF;BLA;PSO
