time;src;dst;path;min_bw_mbps;avg_bw_used;avg_pct_use;network_latency_ms;proc_delay_ms;total_delay_ms;selected;vm_policy;link_policy;wf_policy
100;h_6;h_0;h_6->edge3->agg2->core1->agg0->edge0->h_0;10.0;1462.67;4120.73;16000.4304;0.0;4699.9997;True;LWFF;First;Priority
100;h_9;h_0;h_9->edge4->agg3->core1->agg0->edge0->h_0;10.0;1230.67;4196.31;16000.3789;0.0;2999.9996;True;LWFF;First;Priority
100;h_3;h_0;h_3->edge1->agg0->edge0->h_0;10.0;2488.0;6266.8;16000.2307;0.0;2599.9997;True;LWFF;First;Priority
100;h_3;h_0;h_3->edge1->agg0->edge0->h_0;10.0;2488.0;6266.8;80000.2307;0.0;6299.9999;True;LWFF;First;Priority
110;h_3;h_0;h_3->edge1->agg0->edge0->h_0;10.0;708.0;3076.2;80000.2307;0.0;2699.9999;True;LWFF;First;Priority
110;h_6;h_0;h_6->edge3->agg2->core1->agg0->edge0->h_0;10.0;1022.67;2181.13;8000.4304;0.0;199.9999;True;LWFF;First;Priority
110;h_9;h_9;h_9->(LOCAL)->h_9;10000.0;0.0;0.0;0.0;9399.9999;9399.9999;True;LWFF;First;Priority
110;h_9;h_9;h_9->(LOCAL)->h_9;10000.0;0.0;0.0;0.0;599.9997;599.9997;True;LWFF;First;Priority
110;h_3;h_0;h_3->edge1->agg0->edge0->h_0;10.0;708.0;3076.2;320000.2307;0.0;9699.9999;True;LWFF;First;Priority
110;h_6;h_0;h_6->edge3->agg2->core1->agg0->edge0->h_0;10.0;1022.67;2181.13;240000.4304;0.0;8899.9997;True;LWFF;First;Priority
110;h_9;h_9;h_9->(LOCAL)->h_9;10000.0;0.0;0.0;0.0;7999.9999;7999.9999;True;LWFF;First;Priority
110;h_9;h_9;h_9->(LOCAL)->h_9;10000.0;0.0;0.0;0.0;7099.9997;7099.9997;True;LWFF;First;Priority
110;h_9;h_9;h_9->(LOCAL)->h_9;10000.0;0.0;0.0;0.0;6299.9997;6299.9997;True;LWFF;First;Priority
110;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;10.0;718.67;1750.35;240000.3789;0.0;5799.9996;True;LWFF;First;Priority
110;h_9;h_9;h_9->(LOCAL)->h_9;10000.0;0.0;0.0;0.0;4899.9997;4899.9997;True;LWFF;First;Priority
110;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;10.0;718.67;1750.35;120000.3789;0.0;3599.9997;True;LWFF;First;Priority
110;h_9;h_9;h_9->(LOCAL)->h_9;10000.0;0.0;0.0;0.0;1199.9999;1199.9999;True;LWFF;First;Priority
110;h_6;h_0;h_6->edge3->agg2->core1->agg0->edge0->h_0;10.0;1022.67;2181.13;160000.4304;0.0;1799.9999;True;LWFF;First;Priority
110;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;10.0;718.67;1750.35;240000.3789;0.0;7599.9997;True;LWFF;First;Priority
110;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;10.0;718.67;1750.35;16000.3789;0.0;3899.9997;True;LWFF;First;Priority
110;h_9;h_9;h_9->(LOCAL)->h_9;10000.0;0.0;0.0;0.0;3199.9996;3199.9996;True;LWFF;First;Priority
110;h_9;h_9;h_9->(LOCAL)->h_9;10000.0;0.0;0.0;0.0;2499.9999;2499.9999;True;LWFF;First;Priority
110;h_6;h_9;h_6->edge3->agg2->core1->agg3->edge4->h_9;50.0;772.0;348.35;48000.357;0.0;2099.9999;True;LWFF;First;Priority
110;h_3;h_0;h_3->edge1->agg0->edge0->h_0;10.0;708.0;3076.2;80000.2307;0.0;8399.9997;True;LWFF;First;Priority
110;h_3;h_0;h_3->edge1->agg0->edge0->h_0;10.0;708.0;3076.2;160000.2307;0.0;6599.9999;True;LWFF;First;Priority
110;h_3;h_0;h_3->edge1->agg0->edge0->h_0;10.0;708.0;3076.2;160000.2307;0.0;5399.9997;True;LWFF;First;Priority
110;h_9;h_0;h_9->edge4->agg3->core1->agg0->edge0->h_0;10.0;790.67;2232.39;8000.3789;0.0;799.9999;True;LWFF;First;Priority
110;h_6;h_0;h_6->edge3->agg2->core1->agg0->edge0->h_0;10.0;1022.67;2181.13;80000.4304;0.0;4299.9999;True;LWFF;First;Priority
120;h_0;h_0;h_0->(LOCAL)->h_0;10000.0;0.0;0.0;0.0;7799.9997;7799.9997;True;LWFF;First;Priority
120;h_0;h_0;h_0->(LOCAL)->h_0;10000.0;0.0;0.0;0.0;5399.9997;5399.9997;True;LWFF;First;Priority
120;h_9;h_9;h_9->(LOCAL)->h_9;10000.0;0.0;0.0;0.0;2299.9999;2299.9999;True;LWFF;First;Priority
120;h_3;h_0;h_3->edge1->agg0->edge0->h_0;10.0;1692.0;4704.6;160000.2307;0.0;2899.9999;True;LWFF;First;Priority
120;h_0;h_0;h_0->(LOCAL)->h_0;10000.0;0.0;0.0;0.0;6999.9999;6999.9999;True;LWFF;First;Priority
120;h_0;h_0;h_0->(LOCAL)->h_0;10000.0;0.0;0.0;0.0;5099.9999;5099.9999;True;LWFF;First;Priority
120;h_9;h_9;h_9->(LOCAL)->h_9;10000.0;0.0;0.0;0.0;9699.9996;9699.9996;True;LWFF;First;Priority
120;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;10.0;1472.0;2746.88;32000.3789;0.0;5599.9996;True;LWFF;First;Priority
120;h_9;h_9;h_9->(LOCAL)->h_9;10000.0;0.0;0.0;0.0;3799.9999;3799.9999;True;LWFF;First;Priority
120;h_9;h_9;h_9->(LOCAL)->h_9;10000.0;0.0;0.0;0.0;2499.9996;2499.9996;True;LWFF;First;Priority
120;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;10.0;1472.0;2746.88;8000.3789;0.0;1499.9997;True;LWFF;First;Priority
120;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;10.0;1472.0;2746.88;80000.3789;0.0;999.9999;True;LWFF;First;Priority
120;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;10.0;1472.0;2746.88;160000.3789;0.0;99.9999;True;LWFF;First;Priority
120;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;10.0;1472.0;2746.88;80000.3789;0.0;9199.9996;True;LWFF;First;Priority
120;h_6;h_9;h_6->edge3->agg2->core1->agg3->edge4->h_9;50.0;1560.0;785.55;24000.357;0.0;8599.9997;True;LWFF;First;Priority
120;h_0;h_9;h_0->edge0->agg0->core1->agg3->edge4->h_9;10.0;1472.0;2746.88;32000.3789;0.0;6599.9996;True;LWFF;First;Priority
120;h_9;h_9;h_9->(LOCAL)->h_9;10000.0;0.0;0.0;0.0;4499.9999;4499.9999;True;LWFF;First;Priority
120;h_9;h_9;h_9->(LOCAL)->h_9;10000.0;0.0;0.0;0.0;1799.9997;1799.9997;True;LWFF;First;Priority
