0;1;2;vm_policy;link_policy;wf_policy
230;1;0.0697;LFF;BLA;Priority
230;0;0.0696;LFF;BLA;Priority
240;11;0.0696;LFF;BLA;Priority
240;10;0.0696;LFF;BLA;Priority
240;9;0.0696;LFF;BLA;Priority
240;8;0.0699;LFF;BLA;Priority
240;7;0.0696;LFF;BLA;Priority
240;6;0.0696;LFF;BLA;Priority
240;5;0.0699;LFF;BLA;Priority
240;4;0.0695;LFF;BLA;Priority
240;3;0.0696;LFF;BLA;Priority
240;2;0.0696;LFF;BLA;Priority
240;1;0.0697;LFF;BLA;Priority
240;0;0.0696;LFF;BLA;Priority
250;11;0.0696;LFF;BLA;Priority
250;10;0.0696;LFF;BLA;Priority
250;9;0.0696;LFF;BLA;Priority
250;8;0.0699;LFF;BLA;Priority
250;7;0.0696;LFF;BLA;Priority
250;6;0.0696;LFF;BLA;Priority
250;5;0.0699;LFF;BLA;Priority
250;4;0.0695;LFF;BLA;Priority
250;3;0.0696;LFF;BLA;Priority
250;2;0.0696;LFF;BLA;Priority
250;1;0.0697;LFF;BLA;Priority
250;0;0.0696;LFF;BLA;Priority
260;11;0.0696;LFF;BLA;Priority
260;10;0.0696;LFF;BLA;Priority
260;9;0.0696;LFF;BLA;Priority
260;8;0.0699;LFF;BLA;Priority
260;7;0.0696;LFF;BLA;Priority
260;6;0.0696;LFF;BLA;Priority
260;5;0.0699;LFF;BLA;Priority
260;4;0.0695;LFF;BLA;Priority
260;3;0.0696;LFF;BLA;Priority
260;2;0.0696;LFF;BLA;Priority
260;1;0.0697;LFF;BLA;Priority
260;0;0.0696;LFF;BLA;Priority
270;11;0.0696;LFF;BLA;Priority
270;10;0.0696;LFF;BLA;Priority
270;9;0.0696;LFF;BLA;Priority
270;8;0.0699;LFF;BLA;Priority
270;7;0.0696;LFF;BLA;Priority
270;6;0.0696;LFF;BLA;Priority
270;5;0.0699;LFF;BLA;Priority
270;4;0.0695;LFF;BLA;Priority
270;3;0.0696;LFF;BLA;Priority
270;2;0.0696;LFF;BLA;Priority
270;1;0.0697;LFF;BLA;Priority
270;0;0.0696;LFF;BLA;Priority
280;11;0.0696;LFF;BLA;Priority
280;10;0.0696;LFF;BLA;Priority
280;9;0.0696;LFF;BLA;Priority
280;8;0.0699;LFF;BLA;Priority
280;7;0.0696;LFF;BLA;Priority
280;6;0.0696;LFF;BLA;Priority
280;5;0.0699;LFF;BLA;Priority
280;4;0.0695;LFF;BLA;Priority
280;3;0.0696;LFF;BLA;Priority
280;2;0.0696;LFF;BLA;Priority
280;1;0.0697;LFF;BLA;Priority
280;0;0.0696;LFF;BLA;Priority
290;11;0.0696;LFF;BLA;Priority
290;10;0.0696;LFF;BLA;Priority
290;9;0.0696;LFF;BLA;Priority
290;8;0.0699;LFF;BLA;Priority
290;7;0.0696;LFF;BLA;Priority
290;6;0.0696;LFF;BLA;Priority
290;5;0.0699;LFF;BLA;Priority
290;4;0.0695;LFF;BLA;Priority
290;3;0.0696;LFF;BLA;Priority
