# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
190.00;7;0.00;0.00;0.00;0.0000
190.00;6;0.00;0.00;0.00;0.0000
190.00;5;0.00;0.00;0.00;0.0000
190.00;4;0.00;0.00;0.00;0.0000
190.00;3;0.00;0.00;0.00;0.0000
190.00;2;0.00;0.00;0.00;0.0000
190.00;1;0.00;0.00;0.00;0.0000
190.00;0;0.00;0.00;0.00;0.0000
190.00;11;34.38;87.50;48.32;0.0732
190.00;10;10.16;34.38;24.16;0.0709
200.00;11;34.38;87.50;76.00;0.3362
200.00;10;10.16;34.38;32.00;0.3343
200.00;9;0.00;0.00;0.00;0.0000
200.00;8;0.00;0.00;0.00;0.0000
200.00;7;0.00;0.00;0.00;0.0000
200.00;6;0.00;0.00;0.00;0.0000
200.00;5;0.00;0.00;0.00;0.0000
200.00;4;0.00;0.00;0.00;0.0000
200.00;3;0.00;0.00;0.00;0.0000
200.00;2;0.00;0.00;0.00;0.0000
200.00;1;0.00;0.00;0.00;0.0000
200.00;0;0.00;0.00;0.00;0.0000
200.00;11;34.38;87.50;41.92;0.0731
200.00;10;10.16;34.38;20.96;0.0708
210.00;11;34.38;87.50;76.00;0.3362
210.00;10;10.16;34.38;32.00;0.3343
210.00;9;0.00;0.00;0.00;0.0000
210.00;8;0.00;0.00;0.00;0.0000
210.00;7;0.00;0.00;0.00;0.0000
210.00;6;0.00;0.00;0.00;0.0000
210.00;5;0.00;0.00;0.00;0.0000
210.00;4;0.00;0.00;0.00;0.0000
210.00;3;0.00;0.00;0.00;0.0000
210.00;2;0.00;0.00;0.00;0.0000
210.00;1;0.00;0.00;0.00;0.0000
210.00;0;0.00;0.00;0.00;0.0000
210.00;11;34.38;87.50;19.20;0.0728
210.00;10;10.16;34.38;9.60;0.0707
220.00;11;34.38;87.50;76.00;0.3362
220.00;10;10.16;34.38;32.00;0.3343
220.00;9;0.00;0.00;0.00;0.0000
220.00;8;0.00;0.00;0.00;0.0000
220.00;7;0.00;0.00;0.00;0.0000
220.00;6;0.00;0.00;0.00;0.0000
220.00;5;0.00;0.00;0.00;0.0000
220.00;4;0.00;0.00;0.00;0.0000
220.00;3;0.00;0.00;0.00;0.0000
220.00;2;0.00;0.00;0.00;0.0000
220.00;1;0.00;0.00;0.00;0.0000
220.00;0;0.00;0.00;0.00;0.0000
220.00;11;34.38;87.50;0.00;0.0725
220.00;10;10.16;34.38;0.00;0.0705
230.00;11;34.38;87.50;76.00;0.3362
230.00;10;10.16;34.38;32.00;0.3343
230.00;9;0.00;0.00;0.00;0.0000
230.00;8;0.00;0.00;0.00;0.0000
230.00;7;0.00;0.00;0.00;0.0000
230.00;6;0.00;0.00;0.00;0.0000
230.00;5;0.00;0.00;0.00;0.0000
230.00;4;0.00;0.00;0.00;0.0000
230.00;3;0.00;0.00;0.00;0.0000
230.00;2;0.00;0.00;0.00;0.0000
230.00;1;0.00;0.00;0.00;0.0000
230.00;0;0.00;0.00;0.00;0.0000
230.00;11;34.38;87.50;0.00;0.0725
230.00;10;10.16;34.38;0.00;0.0705
240.00;11;34.38;87.50;76.00;0.3362
240.00;10;10.16;34.38;32.00;0.3343
240.00;9;0.00;0.00;0.00;0.0000
240.00;8;0.00;0.00;0.00;0.0000
240.00;7;0.00;0.00;0.00;0.0000
240.00;6;0.00;0.00;0.00;0.0000
240.00;5;0.00;0.00;0.00;0.0000
240.00;4;0.00;0.00;0.00;0.0000
240.00;3;0.00;0.00;0.00;0.0000
240.00;2;0.00;0.00;0.00;0.0000
240.00;1;0.00;0.00;0.00;0.0000
240.00;0;0.00;0.00;0.00;0.0000
240.00;11;34.38;87.50;0.00;0.0725
240.00;10;10.16;34.38;0.00;0.0705
250.00;11;34.38;87.50;76.00;0.3362
250.00;10;10.16;34.38;32.00;0.3343
250.00;9;0.00;0.00;0.00;0.0000
250.00;8;0.00;0.00;0.00;0.0000
250.00;7;0.00;0.00;0.00;0.0000
250.00;6;0.00;0.00;0.00;0.0000
250.00;5;0.00;0.00;0.00;0.0000
250.00;4;0.00;0.00;0.00;0.0000
250.00;3;0.00;0.00;0.00;0.0000
250.00;2;0.00;0.00;0.00;0.0000
250.00;1;0.00;0.00;0.00;0.0000
250.00;0;0.00;0.00;0.00;0.0000
250.00;11;34.38;87.50;0.00;0.0725
250.00;10;10.16;34.38;0.00;0.0705
260.00;11;34.38;87.50;76.00;0.3362
260.00;10;10.16;34.38;32.00;0.3343
260.00;9;0.00;0.00;0.00;0.0000
260.00;8;0.00;0.00;0.00;0.0000
260.00;7;0.00;0.00;0.00;0.0000
260.00;6;0.00;0.00;0.00;0.0000
260.00;5;0.00;0.00;0.00;0.0000
260.00;4;0.00;0.00;0.00;0.0000
260.00;3;0.00;0.00;0.00;0.0000
260.00;2;0.00;0.00;0.00;0.0000
260.00;1;0.00;0.00;0.00;0.0000
260.00;0;0.00;0.00;0.00;0.0000
260.00;11;34.38;87.50;0.00;0.0725
260.00;10;10.16;34.38;0.00;0.0705
270.00;11;34.38;87.50;76.00;0.3362
270.00;10;10.16;34.38;32.00;0.3343
270.00;9;0.00;0.00;0.00;0.0000
270.00;8;0.00;0.00;0.00;0.0000
270.00;7;0.00;0.00;0.00;0.0000
270.00;6;0.00;0.00;0.00;0.0000
270.00;5;0.00;0.00;0.00;0.0000
270.00;4;0.00;0.00;0.00;0.0000
270.00;3;0.00;0.00;0.00;0.0000
270.00;2;0.00;0.00;0.00;0.0000
270.00;1;0.00;0.00;0.00;0.0000
270.00;0;0.00;0.00;0.00;0.0000
270.00;11;34.38;87.50;0.00;0.0725
270.00;10;10.16;34.38;0.00;0.0705
280.00;11;34.38;87.50;76.00;0.3362
280.00;10;10.16;34.38;32.00;0.3343
280.00;9;0.00;0.00;0.00;0.0000
280.00;8;0.00;0.00;0.00;0.0000
280.00;7;0.00;0.00;0.00;0.0000
280.00;6;0.00;0.00;0.00;0.0000
280.00;5;0.00;0.00;0.00;0.0000
280.00;4;0.00;0.00;0.00;0.0000
280.00;3;0.00;0.00;0.00;0.0000
280.00;2;0.00;0.00;0.00;0.0000
280.00;1;0.00;0.00;0.00;0.0000
280.00;0;0.00;0.00;0.00;0.0000
280.00;11;34.38;87.50;0.00;0.0725
280.00;10;10.16;34.38;0.00;0.0705
290.00;11;34.38;87.50;76.00;0.3362
290.00;10;10.16;34.38;32.00;0.3343
290.00;9;0.00;0.00;0.00;0.0000
290.00;8;0.00;0.00;0.00;0.0000
290.00;7;0.00;0.00;0.00;0.0000
290.00;6;0.00;0.00;0.00;0.0000
290.00;5;0.00;0.00;0.00;0.0000
290.00;4;0.00;0.00;0.00;0.0000
290.00;3;0.00;0.00;0.00;0.0000
290.00;2;0.00;0.00;0.00;0.0000
290.00;1;0.00;0.00;0.00;0.0000
290.00;0;0.00;0.00;0.00;0.0000
290.00;11;34.38;87.50;0.00;0.0725
290.00;10;10.16;34.38;0.00;0.0705
300.00;11;34.38;87.50;76.00;0.3362
300.00;10;10.16;34.38;32.00;0.3343
300.00;9;0.00;0.00;0.00;0.0000
300.00;8;0.00;0.00;0.00;0.0000
300.00;7;0.00;0.00;0.00;0.0000
300.00;6;0.00;0.00;0.00;0.0000
300.00;5;0.00;0.00;0.00;0.0000
300.00;4;0.00;0.00;0.00;0.0000
300.00;3;0.00;0.00;0.00;0.0000
300.00;2;0.00;0.00;0.00;0.0000
300.00;1;0.00;0.00;0.00;0.0000
300.00;0;0.00;0.00;0.00;0.0000
300.00;11;34.38;87.50;0.00;0.0725
300.00;10;10.16;34.38;0.00;0.0705
310.00;11;34.38;87.50;76.00;0.3362
310.00;10;10.16;34.38;32.00;0.3343
310.00;9;0.00;0.00;0.00;0.0000
310.00;8;0.00;0.00;0.00;0.0000
310.00;7;0.00;0.00;0.00;0.0000
310.00;6;0.00;0.00;0.00;0.0000
310.00;5;0.00;0.00;0.00;0.0000
310.00;4;0.00;0.00;0.00;0.0000
310.00;3;0.00;0.00;0.00;0.0000
310.00;2;0.00;0.00;0.00;0.0000
310.00;1;0.00;0.00;0.00;0.0000
310.00;0;0.00;0.00;0.00;0.0000
310.00;11;34.38;87.50;0.00;0.0725
310.00;10;10.16;34.38;0.00;0.0705
320.00;11;34.38;87.50;76.00;0.3362
320.00;10;10.16;34.38;32.00;0.3343
320.00;9;0.00;0.00;0.00;0.0000
320.00;8;0.00;0.00;0.00;0.0000
320.00;7;0.00;0.00;0.00;0.0000
320.00;6;0.00;0.00;0.00;0.0000
320.00;5;0.00;0.00;0.00;0.0000
320.00;4;0.00;0.00;0.00;0.0000
320.00;3;0.00;0.00;0.00;0.0000
320.00;2;0.00;0.00;0.00;0.0000
320.00;1;0.00;0.00;0.00;0.0000
320.00;0;0.00;0.00;0.00;0.0000
320.00;11;34.38;87.50;0.00;0.0725
320.00;10;10.16;34.38;0.00;0.0705
330.00;11;34.38;87.50;76.00;0.3362
330.00;10;10.16;34.38;32.00;0.3343
330.00;9;0.00;0.00;0.00;0.0000
330.00;8;0.00;0.00;0.00;0.0000
330.00;7;0.00;0.00;0.00;0.0000
330.00;6;0.00;0.00;0.00;0.0000
330.00;5;0.00;0.00;0.00;0.0000
330.00;4;0.00;0.00;0.00;0.0000
330.00;3;0.00;0.00;0.00;0.0000
330.00;2;0.00;0.00;0.00;0.0000
330.00;1;0.00;0.00;0.00;0.0000
330.00;0;0.00;0.00;0.00;0.0000
330.00;11;34.38;87.50;0.00;0.0725
330.00;10;10.16;34.38;0.00;0.0705
340.00;11;34.38;87.50;76.00;0.3362
340.00;10;10.16;34.38;32.00;0.3343
340.00;9;0.00;0.00;0.00;0.0000
340.00;8;0.00;0.00;0.00;0.0000
340.00;7;0.00;0.00;0.00;0.0000
340.00;6;0.00;0.00;0.00;0.0000
340.00;5;0.00;0.00;0.00;0.0000
340.00;4;0.00;0.00;0.00;0.0000
340.00;3;0.00;0.00;0.00;0.0000
340.00;2;0.00;0.00;0.00;0.0000
340.00;1;0.00;0.00;0.00;0.0000
340.00;0;0.00;0.00;0.00;0.0000
