# units: time(s); hostId; energy(Wh)
560;0;0.0697
570;5;0.0000
570;4;0.0000
570;3;0.0697
570;2;0.0000
570;1;0.0000
570;0;0.0697
580;5;0.0000
580;4;0.0000
580;3;0.0697
580;2;0.0000
580;1;0.0000
580;0;0.0697
590;5;0.0000
590;4;0.0000
590;3;0.0697
590;2;0.0000
590;1;0.0000
590;0;0.0697
600;5;0.0000
600;4;0.0000
600;3;0.0697
600;2;0.0000
600;1;0.0000
600;0;0.0697
610;5;0.0000
610;4;0.0000
610;3;0.0697
610;2;0.0000
610;1;0.0000
610;0;0.0697
620;5;0.0000
620;4;0.0000
620;3;0.0697
620;2;0.0000
620;1;0.0000
620;0;0.0697
630;5;0.0000
630;4;0.0000
630;3;0.0697
630;2;0.0000
630;1;0.0000
630;0;0.0697
640;5;0.0000
640;4;0.0000
640;3;0.0697
640;2;0.0000
640;1;0.0000
640;0;0.0697
650;5;0.0000
650;4;0.0000
650;3;0.0697
650;2;0.0000
650;1;0.0000
650;0;0.0697
660;5;0.0000
660;4;0.0000
660;3;0.0697
660;2;0.0000
660;1;0.0000
660;0;0.0697
670;5;0.0000
670;4;0.0000
670;3;0.0697
670;2;0.0000
670;1;0.0000
670;0;0.0697
680;5;0.0000
680;4;0.0000
680;3;0.0697
680;2;0.0000
680;1;0.0000
680;0;0.0697
690;5;0.0000
690;4;0.0000
690;3;0.0697
690;2;0.0000
690;1;0.0000
690;0;0.0697
700;5;0.0000
700;4;0.0000
700;3;0.0697
700;2;0.0000
700;1;0.0000
700;0;0.0697
710;5;0.0000
710;4;0.0000
710;3;0.0697
710;2;0.0000
710;1;0.0000
710;0;0.0697
720;5;0.0000
720;4;0.0000
720;3;0.0697
720;2;0.0000
720;1;0.0000
720;0;0.0697
730;5;0.0000
730;4;0.0000
730;3;0.0697
730;2;0.0000
730;1;0.0000
730;0;0.0697
740;5;0.0000
740;4;0.0000
740;3;0.0697
740;2;0.0000
740;1;0.0000
740;0;0.0697
750;5;0.0000
750;4;0.0000
750;3;0.0697
750;2;0.0000
750;1;0.0000
750;0;0.0697
760;5;0.0000
760;4;0.0000
760;3;0.0697
760;2;0.0000
760;1;0.0000
760;0;0.0697
770;5;0.0000
770;4;0.0000
770;3;0.0697
770;2;0.0000
770;1;0.0000
770;0;0.0697
780;5;0.0000
780;4;0.0000
780;3;0.0697
780;2;0.0000
780;1;0.0000
780;0;0.0697
790;5;0.0000
790;4;0.0000
790;3;0.0697
790;2;0.0000
790;1;0.0000
790;0;0.0697
800;5;0.0000
800;4;0.0000
800;3;0.0697
800;2;0.0000
800;1;0.0000
800;0;0.0697
810;5;0.0000
810;4;0.0000
810;3;0.0697
810;2;0.0000
810;1;0.0000
810;0;0.0697
820;5;0.0000
820;4;0.0000
820;3;0.0697
820;2;0.0000
820;1;0.0000
820;0;0.0697
830;5;0.0000
830;4;0.0000
830;3;0.0697
830;2;0.0000
830;1;0.0000
830;0;0.0697
840;5;0.0000
840;4;0.0000
840;3;0.0697
840;2;0.0000
840;1;0.0000
840;0;0.0697
850;5;0.0000
850;4;0.0000
850;3;0.0697
850;2;0.0000
850;1;0.0000
850;0;0.0697
860;5;0.0000
860;4;0.0000
860;3;0.0697
860;2;0.0000
860;1;0.0000
860;0;0.0697
870;5;0.0000
870;4;0.0000
870;3;0.0697
870;2;0.0000
870;1;0.0000
870;0;0.0697
880;5;0.0000
880;4;0.0000
880;3;0.0697
880;2;0.0000
880;1;0.0000
880;0;0.0697
890;5;0.0000
890;4;0.0000
890;3;0.0697
890;2;0.0000
890;1;0.0000
890;0;0.0697
900;5;0.0000
900;4;0.0000
900;3;0.0697
900;2;0.0000
900;1;0.0000
900;0;0.0697
910;5;0.0000
910;4;0.0000
910;3;0.0697
910;2;0.0000
910;1;0.0000
910;0;0.0697
920;5;0.0000
920;4;0.0000
920;3;0.0697
920;2;0.0000
920;1;0.0000
920;0;0.0697
930;5;0.0000
930;4;0.0000
930;3;0.0697
930;2;0.0000
930;1;0.0000
930;0;0.0697
940;5;0.0000
940;4;0.0000
940;3;0.0697
940;2;0.0000
940;1;0.0000
940;0;0.0697
950;5;0.0000
950;4;0.0000
950;3;0.0697
950;2;0.0000
950;1;0.0000
950;0;0.0697
960;5;0.0000
960;4;0.0000
960;3;0.0697
960;2;0.0000
960;1;0.0000
960;0;0.0697
970;5;0.0000
970;4;0.0000
970;3;0.0697
970;2;0.0000
970;1;0.0000
970;0;0.0697
980;5;0.0000
980;4;0.0000
980;3;0.0697
980;2;0.0000
980;1;0.0000
980;0;0.0697
990;5;0.0000
990;4;0.0000
990;3;0.0697
990;2;0.0000
990;1;0.0000
990;0;0.0697
1000;5;0.0000
1000;4;0.0000
1000;3;0.0697
1000;2;0.0000
1000;1;0.0000
1000;0;0.0697
1010;5;0.0000
1010;4;0.0000
1010;3;0.0697
1010;2;0.0000
1010;1;0.0000
1010;0;0.0697
1020;5;0.0000
1020;4;0.0000
1020;3;0.0697
1020;2;0.0000
1020;1;0.0000
1020;0;0.0697
1030;5;0.0000
1030;4;0.0000
1030;3;0.0697
1030;2;0.0000
1030;1;0.0000
1030;0;0.0697
1040;5;0.0000
1040;4;0.0000
1040;3;0.0697
1040;2;0.0000
1040;1;0.0000
1040;0;0.0697
1050;5;0.0000
1050;4;0.0000
1050;3;0.0697
1050;2;0.0000
1050;1;0.0000
1050;0;0.0697
1060;5;0.0000
1060;4;0.0000
1060;3;0.0697
1060;2;0.0000
1060;1;0.0000
1060;0;0.0697
1070;5;0.0000
1070;4;0.0000
1070;3;0.0697
1070;2;0.0000
1070;1;0.0000
1070;0;0.0697
1080;5;0.0000
1080;4;0.0000
1080;3;0.0697
1080;2;0.0000
1080;1;0.0000
1080;0;0.0697
1090;5;0.0000
1090;4;0.0000
1090;3;0.0697
1090;2;0.0000
1090;1;0.0000
1090;0;0.0697
1100;5;0.0000
1100;4;0.0000
1100;3;0.0697
1100;2;0.0000
1100;1;0.0000
1100;0;0.0697
1110;5;0.0000
1110;4;0.0000
1110;3;0.0697
1110;2;0.0000
1110;1;0.0000
1110;0;0.0697
1120;5;0.0000
1120;4;0.0000
1120;3;0.0697
1120;2;0.0000
1120;1;0.0000
1120;0;0.0697
1130;5;0.0000
1130;4;0.0000
1130;3;0.0697
1130;2;0.0000
1130;1;0.0000
1130;0;0.0697
1140;5;0.0000
1140;4;0.0000
1140;3;0.0697
1140;2;0.0000
1140;1;0.0000
