# units: time(s); switchId; energy(watt)
410;15;7.5964
410;14;7.5964
410;13;7.5964
410;12;7.5964
420;23;7.7817
420;22;7.7817
420;21;7.7817
420;20;7.7817
420;19;7.7817
420;18;7.7817
420;17;7.7817
420;16;7.7817
420;15;7.7817
420;14;7.7817
420;13;7.7817
420;12;7.7817
430;23;7.9669
430;22;7.9669
430;21;7.9669
430;20;7.9669
430;19;7.9669
430;18;7.9669
430;17;7.9669
430;16;7.9669
430;15;7.9669
430;14;7.9669
430;13;7.9669
430;12;7.9669
440;23;8.1522
440;22;8.1522
440;21;8.1522
440;20;8.1522
440;19;8.1522
440;18;8.1522
440;17;8.1522
440;16;8.1522
440;15;8.1522
440;14;8.1522
440;13;8.1522
440;12;8.1522
450;23;8.3375
450;22;8.3375
450;21;8.3375
450;20;8.3375
450;19;8.3375
450;18;8.3375
450;17;8.3375
450;16;8.3375
450;15;8.3375
450;14;8.3375
450;13;8.3375
450;12;8.3375
460;23;8.5228
460;22;8.5228
460;21;8.5228
460;20;8.5228
460;19;8.5228
460;18;8.5228
460;17;8.5228
460;16;8.5228
460;15;8.5228
460;14;8.5228
460;13;8.5228
460;12;8.5228
470;23;8.7081
470;22;8.7081
470;21;8.7081
470;20;8.7081
470;19;8.7081
470;18;8.7081
470;17;8.7081
470;16;8.7081
470;15;8.7081
470;14;8.7081
470;13;8.7081
470;12;8.7081
480;23;8.8933
480;22;8.8933
480;21;8.8933
480;20;8.8933
480;19;8.8933
480;18;8.8933
480;17;8.8933
480;16;8.8933
480;15;8.8933
480;14;8.8933
480;13;8.8933
480;12;8.8933
490;23;9.0786
490;22;9.0786
490;21;9.0786
490;20;9.0786
490;19;9.0786
490;18;9.0786
490;17;9.0786
490;16;9.0786
490;15;9.0786
490;14;9.0786
490;13;9.0786
490;12;9.0786
500;23;9.2639
500;22;9.2639
500;21;9.2639
500;20;9.2639
500;19;9.2639
500;18;9.2639
500;17;9.2639
500;16;9.2639
500;15;9.2639
500;14;9.2639
500;13;9.2639
500;12;9.2639
510;23;9.4492
510;22;9.4492
510;21;9.4492
510;20;9.4492
510;19;9.4492
510;18;9.4492
510;17;9.4492
510;16;9.4492
510;15;9.4492
510;14;9.4492
510;13;9.4492
510;12;9.4492
520;23;9.6344
520;22;9.6344
520;21;9.6344
520;20;9.6344
520;19;9.6344
520;18;9.6344
520;17;9.6344
520;16;9.6344
520;15;9.6344
520;14;9.6344
520;13;9.6344
520;12;9.6344
530;23;9.8197
530;22;9.8197
530;21;9.8197
530;20;9.8197
530;19;9.8197
530;18;9.8197
530;17;9.8197
530;16;9.8197
530;15;9.8197
530;14;9.8197
530;13;9.8197
530;12;9.8197
540;23;10.0050
540;22;10.0050
540;21;10.0050
540;20;10.0050
540;19;10.0050
540;18;10.0050
540;17;10.0050
540;16;10.0050
540;15;10.0050
540;14;10.0050
540;13;10.0050
540;12;10.0050
550;23;10.1903
550;22;10.1903
550;21;10.1903
550;20;10.1903
550;19;10.1903
550;18;10.1903
550;17;10.1903
550;16;10.1903
550;15;10.1903
550;14;10.1903
550;13;10.1903
550;12;10.1903
560;23;10.3756
560;22;10.3756
560;21;10.3756
560;20;10.3756
560;19;10.3756
560;18;10.3756
560;17;10.3756
560;16;10.3756
560;15;10.3756
560;14;10.3756
560;13;10.3756
560;12;10.3756
570;23;10.5608
570;22;10.5608
570;21;10.5608
570;20;10.5608
570;19;10.5608
570;18;10.5608
570;17;10.5608
570;16;10.5608
570;15;10.5608
570;14;10.5608
570;13;10.5608
570;12;10.5608
580;23;10.7461
580;22;10.7461
580;21;10.7461
580;20;10.7461
580;19;10.7461
580;18;10.7461
580;17;10.7461
580;16;10.7461
580;15;10.7461
580;14;10.7461
580;13;10.7461
580;12;10.7461
590;23;10.9314
590;22;10.9314
590;21;10.9314
590;20;10.9314
590;19;10.9314
590;18;10.9314
590;17;10.9314
590;16;10.9314
590;15;10.9314
590;14;10.9314
590;13;10.9314
590;12;10.9314
600;23;11.1167
600;22;11.1167
600;21;11.1167
600;20;11.1167
600;19;11.1167
600;18;11.1167
600;17;11.1167
600;16;11.1167
600;15;11.1167
600;14;11.1167
600;13;11.1167
600;12;11.1167
610;23;11.3019
610;22;11.3019
610;21;11.3019
610;20;11.3019
610;19;11.3019
610;18;11.3019
610;17;11.3019
610;16;11.3019
610;15;11.3019
610;14;11.3019
610;13;11.3019
610;12;11.3019
620;23;11.4872
620;22;11.4872
620;21;11.4872
620;20;11.4872
620;19;11.4872
620;18;11.4872
620;17;11.4872
620;16;11.4872
620;15;11.4872
620;14;11.4872
620;13;11.4872
620;12;11.4872
630;23;11.6725
630;22;11.6725
630;21;11.6725
630;20;11.6725
630;19;11.6725
630;18;11.6725
630;17;11.6725
630;16;11.6725
630;15;11.6725
630;14;11.6725
630;13;11.6725
630;12;11.6725
640;23;11.8578
640;22;11.8578
640;21;11.8578
640;20;11.8578
640;19;11.8578
640;18;11.8578
640;17;11.8578
640;16;11.8578
640;15;11.8578
640;14;11.8578
640;13;11.8578
640;12;11.8578
650;23;12.0431
650;22;12.0431
650;21;12.0431
650;20;12.0431
650;19;12.0431
650;18;12.0431
650;17;12.0431
650;16;12.0431
650;15;12.0431
650;14;12.0431
650;13;12.0431
650;12;12.0431
660;23;12.2283
660;22;12.2283
660;21;12.2283
660;20;12.2283
660;19;12.2283
660;18;12.2283
660;17;12.2283
660;16;12.2283
660;15;12.2283
660;14;12.2283
660;13;12.2283
660;12;12.2283
670;23;12.4136
670;22;12.4136
670;21;12.4136
670;20;12.4136
670;19;12.4136
670;18;12.4136
670;17;12.4136
670;16;12.4136
670;15;12.4136
670;14;12.4136
670;13;12.4136
670;12;12.4136
680;23;12.5989
680;22;12.5989
680;21;12.5989
680;20;12.5989
680;19;12.5989
680;18;12.5989
680;17;12.5989
680;16;12.5989
680;15;12.5989
680;14;12.5989
680;13;12.5989
680;12;12.5989
690;23;12.7842
690;22;12.7842
690;21;12.7842
690;20;12.7842
690;19;12.7842
690;18;12.7842
690;17;12.7842
690;16;12.7842
690;15;12.7842
690;14;12.7842
690;13;12.7842
690;12;12.7842
700;23;12.9694
700;22;12.9694
700;21;12.9694
700;20;12.9694
700;19;12.9694
700;18;12.9694
700;17;12.9694
700;16;12.9694
700;15;12.9694
700;14;12.9694
700;13;12.9694
700;12;12.9694
710;23;13.1547
710;22;13.1547
710;21;13.1547
710;20;13.1547
710;19;13.1547
710;18;13.1547
710;17;13.1547
710;16;13.1547
710;15;13.1547
710;14;13.1547
710;13;13.1547
710;12;13.1547
720;23;13.3400
720;22;13.3400
720;21;13.3400
720;20;13.3400
720;19;13.3400
720;18;13.3400
720;17;13.3400
