# units: time(s); switchId; energy(watt)
930;7;9.4492
930;6;9.4492
940;12;9.4492
940;11;9.4492
940;10;9.4492
940;9;9.4492
940;8;9.4492
940;7;9.4492
940;6;9.4492
950;12;9.4492
950;11;9.4492
950;10;9.4492
950;9;9.4492
950;8;9.4492
950;7;9.4492
950;6;9.4492
960;12;9.4492
960;11;9.4492
960;10;9.4492
960;9;9.4492
960;8;9.4492
960;7;9.4492
960;6;9.4492
970;12;9.4492
970;11;9.4492
970;10;9.4492
970;9;9.4492
970;8;9.4492
970;7;9.4492
970;6;9.4492
980;12;9.4492
980;11;9.4492
980;10;9.4492
980;9;9.4492
980;8;9.4492
980;7;9.4492
980;6;9.4492
990;12;9.4492
990;11;9.4492
990;10;9.4492
990;9;9.4492
990;8;9.4492
990;7;9.4492
990;6;9.4492
1000;12;9.4492
1000;11;9.4492
1000;10;9.4492
1000;9;9.4492
1000;8;9.4492
1000;7;9.4492
1000;6;9.4492
1010;12;18.7131
1010;11;18.7131
1010;10;18.7131
1010;9;18.7131
1010;8;18.7131
1010;7;18.7131
1010;6;18.7131
