# units: time(s); hostId; energy(Wh)
1160;1;0.0695
1160;0;0.0695
1170;5;0.0699
1170;4;0.0697
1170;3;0.0695
1170;2;0.0696
1170;1;0.0695
1170;0;0.0695
1180;5;0.0699
1180;4;0.0697
1180;3;0.0695
1180;2;0.0696
1180;1;0.0695
1180;0;0.0695
1190;5;0.0699
1190;4;0.0697
1190;3;0.0695
1190;2;0.0696
1190;1;0.0695
1190;0;0.0695
1200;5;0.0699
1200;4;0.0697
1200;3;0.0695
1200;2;0.0696
1200;1;0.0695
1200;0;0.0695
1210;5;0.0699
1210;4;0.0697
1210;3;0.0695
1210;2;0.0696
1210;1;0.0695
1210;0;0.0695
1220;5;0.0699
1220;4;0.0697
1220;3;0.0695
1220;2;0.0696
1220;1;0.0695
1220;0;0.0695
1230;5;0.0699
1230;4;0.0697
1230;3;0.0695
1230;2;0.0696
1230;1;0.0695
1230;0;0.0695
1240;5;0.0699
1240;4;0.0697
1240;3;0.0695
1240;2;0.0696
1240;1;0.0695
1240;0;0.0695
1250;5;0.0699
1250;4;0.0697
1250;3;0.0695
1250;2;0.0696
1250;1;0.0695
1250;0;0.0695
1260;5;0.0699
1260;4;0.0697
1260;3;0.0695
1260;2;0.0696
1260;1;0.0695
1260;0;0.0695
1270;5;0.0699
1270;4;0.0697
1270;3;0.0695
1270;2;0.0696
1270;1;0.0695
1270;0;0.0695
1280;5;0.0699
1280;4;0.0697
1280;3;0.0695
1280;2;0.0696
1280;1;0.0695
1280;0;0.0695
1290;5;0.0699
1290;4;0.0697
1290;3;0.0695
1290;2;0.0696
1290;1;0.0695
1290;0;0.0695
1300;5;0.0699
1300;4;0.0697
1300;3;0.0695
1300;2;0.0696
1300;1;0.0695
1300;0;0.0695
1310;5;0.0699
1310;4;0.0697
1310;3;0.0695
1310;2;0.0696
1310;1;0.0695
1310;0;0.0695
1320;5;0.0699
1320;4;0.0697
1320;3;0.0695
1320;2;0.0696
1320;1;0.0695
1320;0;0.0695
1330;5;0.0699
1330;4;0.0697
1330;3;0.0695
1330;2;0.0696
1330;1;0.0695
1330;0;0.0695
1340;5;0.0699
1340;4;0.0697
1340;3;0.0695
1340;2;0.0696
1340;1;0.0695
1340;0;0.0695
1350;5;0.0699
1350;4;0.0697
1350;3;0.0695
1350;2;0.0696
1350;1;0.0695
1350;0;0.0695
1360;5;0.0699
1360;4;0.0697
1360;3;0.0695
1360;2;0.0696
1360;1;0.0695
1360;0;0.0695
1370;5;0.0699
1370;4;0.0697
1370;3;0.0695
1370;2;0.0696
1370;1;0.0695
1370;0;0.0695
1380;5;0.0699
1380;4;0.0697
1380;3;0.0695
1380;2;0.0696
1380;1;0.0695
1380;0;0.0695
1390;5;0.0699
1390;4;0.0697
1390;3;0.0695
1390;2;0.0696
1390;1;0.0695
1390;0;0.0695
1400;5;0.0699
1400;4;0.0697
1400;3;0.0695
1400;2;0.0696
1400;1;0.0695
1400;0;0.0695
1410;5;0.0699
1410;4;0.0697
1410;3;0.0695
1410;2;0.0696
1410;1;0.0695
1410;0;0.0695
1420;5;0.0699
1420;4;0.0697
1420;3;0.0695
1420;2;0.0696
1420;1;0.0695
1420;0;0.0695
1430;5;0.0699
1430;4;0.0697
1430;3;0.0695
1430;2;0.0696
1430;1;0.0695
1430;0;0.0695
1440;5;0.0699
1440;4;0.0697
1440;3;0.0695
1440;2;0.0696
1440;1;0.0695
1440;0;0.0695
1450;5;0.0699
1450;4;0.0697
1450;3;0.0695
1450;2;0.0696
1450;1;0.0695
1450;0;0.0695
1460;5;0.0699
1460;4;0.0697
1460;3;0.0695
1460;2;0.0696
1460;1;0.0695
1460;0;0.0695
1470;5;0.0699
1470;4;0.0697
1470;3;0.0695
1470;2;0.0696
1470;1;0.0695
1470;0;0.0695
1480;5;0.0699
1480;4;0.0697
1480;3;0.0695
1480;2;0.0696
1480;1;0.0695
1480;0;0.0695
1490;5;0.0699
1490;4;0.0697
1490;3;0.0695
1490;2;0.0696
1490;1;0.0695
1490;0;0.0695
1500;5;0.0699
1500;4;0.0697
1500;3;0.0695
1500;2;0.0696
1500;1;0.0695
1500;0;0.0695
1510;5;0.0699
1510;4;0.0697
1510;3;0.0695
1510;2;0.0696
1510;1;0.0695
1510;0;0.0695
1520;5;0.0699
1520;4;0.0697
1520;3;0.0695
1520;2;0.0696
1520;1;0.0695
1520;0;0.0695
1530;5;0.0699
1530;4;0.0697
1530;3;0.0695
1530;2;0.0696
1530;1;0.0695
1530;0;0.0695
1540;5;0.0699
1540;4;0.0697
1540;3;0.0695
1540;2;0.0696
1540;1;0.0695
1540;0;0.0695
1550;5;0.0699
1550;4;0.0697
1550;3;0.0695
1550;2;0.0696
1550;1;0.0695
1550;0;0.0695
1560;5;0.0699
1560;4;0.0697
1560;3;0.0695
1560;2;0.0696
1560;1;0.0695
1560;0;0.0695
1570;5;0.0699
1570;4;0.0697
1570;3;0.0695
1570;2;0.0696
1570;1;0.0695
1570;0;0.0695
1580;5;0.0699
1580;4;0.0697
1580;3;0.0695
1580;2;0.0696
1580;1;0.0695
1580;0;0.0695
1590;5;0.0699
1590;4;0.0697
1590;3;0.0695
1590;2;0.0696
1590;1;0.0695
1590;0;0.0695
1600;5;0.0699
1600;4;0.0697
1600;3;0.0695
1600;2;0.0696
1600;1;0.0695
1600;0;0.0695
1610;5;0.0699
1610;4;0.0697
1610;3;0.0695
1610;2;0.0696
1610;1;0.0695
1610;0;0.0695
