time;host_id;cpu_util;ram_util;bw_util;energy;vm_policy;link_policy;wf_policy
220;2;1.5625;6.25;6.0;7.0063;LFF;BLA;Priority
220;1;0.7813;3.125;2.0;7.0044;LFF;BLA;Priority
220;0;0.7813;3.125;2.5;7.0045;LFF;BLA;Priority
230;5;6.25;12.5;10.0;7.3463;LFF;BLA;Priority
230;4;3.125;6.25;5.0;7.3412;LFF;BLA;Priority
230;3;0.7813;3.125;4.0;7.338;LFF;BLA;Priority
230;2;1.5625;6.25;6.0;7.3398;LFF;BLA;Priority
230;1;0.7813;3.125;2.0;7.3378;LFF;BLA;Priority
230;0;0.7813;3.125;2.5;7.3379;LFF;BLA;Priority
240;5;6.25;12.5;10.0;7.6801;LFF;BLA;Priority
240;4;3.125;6.25;5.0;7.6747;LFF;BLA;Priority
240;3;0.7813;3.125;4.0;7.6714;LFF;BLA;Priority
240;2;1.5625;6.25;6.0;7.6733;LFF;BLA;Priority
240;1;0.7813;3.125;2.0;7.6713;LFF;BLA;Priority
240;0;0.7813;3.125;2.5;7.6713;LFF;BLA;Priority
250;5;6.25;12.5;10.0;8.0139;LFF;BLA;Priority
250;4;3.125;6.25;5.0;8.0083;LFF;BLA;Priority
250;3;0.7813;3.125;4.0;8.0048;LFF;BLA;Priority
250;2;1.5625;6.25;6.0;8.0068;LFF;BLA;Priority
250;1;0.7813;3.125;2.0;8.0047;LFF;BLA;Priority
250;0;0.7813;3.125;2.5;8.0047;LFF;BLA;Priority
260;5;6.25;12.5;10.0;8.3477;LFF;BLA;Priority
260;4;3.125;6.25;5.0;8.3419;LFF;BLA;Priority
260;3;0.7813;3.125;4.0;8.3382;LFF;BLA;Priority
260;2;1.5625;6.25;6.0;8.3403;LFF;BLA;Priority
260;1;0.7813;3.125;2.0;8.3381;LFF;BLA;Priority
260;0;0.7813;3.125;2.5;8.3381;LFF;BLA;Priority
270;5;6.25;12.5;10.0;8.6815;LFF;BLA;Priority
270;4;3.125;6.25;5.0;8.6755;LFF;BLA;Priority
270;3;0.7813;3.125;4.0;8.6716;LFF;BLA;Priority
270;2;1.5625;6.25;6.0;8.6738;LFF;BLA;Priority
270;1;0.7813;3.125;2.0;8.6715;LFF;BLA;Priority
270;0;0.7813;3.125;2.5;8.6715;LFF;BLA;Priority
280;5;6.25;12.5;10.0;9.0154;LFF;BLA;Priority
280;4;3.125;6.25;5.0;9.009;LFF;BLA;Priority
280;3;0.7813;3.125;4.0;9.0051;LFF;BLA;Priority
280;2;1.5625;6.25;6.0;9.0073;LFF;BLA;Priority
280;1;0.7813;3.125;2.0;9.0049;LFF;BLA;Priority
280;0;0.7813;3.125;2.5;9.005;LFF;BLA;Priority
290;5;6.25;12.5;10.0;9.3492;LFF;BLA;Priority
290;4;3.125;6.25;5.0;9.3426;LFF;BLA;Priority
290;3;0.7813;3.125;4.0;9.3385;LFF;BLA;Priority
290;2;1.5625;6.25;6.0;9.3408;LFF;BLA;Priority
290;1;0.7813;3.125;2.0;9.3383;LFF;BLA;Priority
290;0;0.7813;3.125;2.5;9.3384;LFF;BLA;Priority
300;5;6.25;12.5;10.0;9.683;LFF;BLA;Priority
300;4;3.125;6.25;5.0;9.6762;LFF;BLA;Priority
300;3;0.7813;3.125;4.0;9.6719;LFF;BLA;Priority
300;2;1.5625;6.25;6.0;9.6743;LFF;BLA;Priority
300;1;0.7813;3.125;2.0;9.6717;LFF;BLA;Priority
300;0;0.7813;3.125;2.5;9.6718;LFF;BLA;Priority
310;5;6.25;12.5;10.0;10.0168;LFF;BLA;Priority
310;4;3.125;6.25;5.0;10.0097;LFF;BLA;Priority
310;3;0.7813;3.125;4.0;10.0053;LFF;BLA;Priority
310;2;1.5625;6.25;6.0;10.0078;LFF;BLA;Priority
310;1;0.7813;3.125;2.0;10.0052;LFF;BLA;Priority
310;0;0.7813;3.125;2.5;10.0052;LFF;BLA;Priority
320;5;6.25;12.5;10.0;10.3506;LFF;BLA;Priority
320;4;3.125;6.25;5.0;10.3433;LFF;BLA;Priority
320;3;0.7813;3.125;4.0;10.3388;LFF;BLA;Priority
320;2;1.5625;6.25;6.0;10.3413;LFF;BLA;Priority
320;1;0.7813;3.125;2.0;10.3386;LFF;BLA;Priority
320;0;0.7813;3.125;2.5;10.3386;LFF;BLA;Priority
330;5;6.25;12.5;10.0;10.6844;LFF;BLA;Priority
330;4;3.125;6.25;5.0;10.6769;LFF;BLA;Priority
330;3;0.7813;3.125;4.0;10.6722;LFF;BLA;Priority
330;2;1.5625;6.25;6.0;10.6748;LFF;BLA;Priority
330;1;0.7813;3.125;2.0;10.672;LFF;BLA;Priority
330;0;0.7813;3.125;2.5;10.672;LFF;BLA;Priority
340;5;6.25;12.5;10.0;11.0182;LFF;BLA;Priority
340;4;3.125;6.25;5.0;11.0104;LFF;BLA;Priority
340;3;0.7813;3.125;4.0;11.0056;LFF;BLA;Priority
340;2;1.5625;6.25;6.0;11.0083;LFF;BLA;Priority
340;1;0.7813;3.125;2.0;11.0054;LFF;BLA;Priority
340;0;0.7813;3.125;2.5;11.0055;LFF;BLA;Priority
350;5;6.25;12.5;10.0;11.352;LFF;BLA;Priority
350;4;3.125;6.25;5.0;11.344;LFF;BLA;Priority
350;3;0.7813;3.125;4.0;11.339;LFF;BLA;Priority
350;2;1.5625;6.25;6.0;11.3418;LFF;BLA;Priority
350;1;0.7813;3.125;2.0;11.3388;LFF;BLA;Priority
350;0;0.7813;3.125;2.5;11.3389;LFF;BLA;Priority
360;5;6.25;12.5;10.0;11.6858;LFF;BLA;Priority
360;4;3.125;6.25;5.0;11.6776;LFF;BLA;Priority
360;3;0.7813;3.125;4.0;11.6724;LFF;BLA;Priority
360;2;1.5625;6.25;6.0;11.6753;LFF;BLA;Priority
360;1;0.7813;3.125;2.0;11.6722;LFF;BLA;Priority
360;0;0.7813;3.125;2.5;11.6723;LFF;BLA;Priority
370;5;6.25;12.5;10.0;12.0196;LFF;BLA;Priority
370;4;3.125;6.25;5.0;12.0111;LFF;BLA;Priority
370;3;0.7813;3.125;4.0;12.0059;LFF;BLA;Priority
370;2;1.5625;6.25;6.0;12.0088;LFF;BLA;Priority
370;1;0.7813;3.125;2.0;12.0057;LFF;BLA;Priority
370;0;0.7813;3.125;2.5;12.0057;LFF;BLA;Priority
380;5;6.25;12.5;10.0;12.3534;LFF;BLA;Priority
380;4;3.125;6.25;5.0;12.3447;LFF;BLA;Priority
380;3;0.7813;3.125;4.0;12.3393;LFF;BLA;Priority
380;2;1.5625;6.25;6.0;12.3423;LFF;BLA;Priority
380;1;0.7813;3.125;2.0;12.3391;LFF;BLA;Priority
380;0;0.7813;3.125;2.5;12.3391;LFF;BLA;Priority
390;5;6.25;12.5;10.0;12.6872;LFF;BLA;Priority
