# units: time(s); hostId; cpu(%); ram(%); bw(%); energy(Wh)
450;5;0.0000;0.0000;0.0000;0.0000
450;4;0.0000;0.0000;0.0000;0.0000
450;3;2.7344;7.8125;7.0000;14.0103
450;2;0.0000;0.0000;0.0000;0.0000
450;1;0.0000;0.0000;0.0000;0.0000
450;0;2.7344;7.8125;7.0000;14.0103
460;5;0.0000;0.0000;0.0000;0.0000
460;4;0.0000;0.0000;0.0000;0.0000
460;3;2.7344;7.8125;7.0000;14.0103
460;2;0.0000;0.0000;0.0000;0.0000
460;1;0.0000;0.0000;0.0000;0.0000
460;0;2.7344;7.8125;7.0000;14.0103
470;5;0.0000;0.0000;0.0000;0.0000
470;4;0.0000;0.0000;0.0000;0.0000
470;3;2.7344;7.8125;7.0000;14.0103
470;2;0.0000;0.0000;0.0000;0.0000
470;1;0.0000;0.0000;0.0000;0.0000
470;0;2.7344;7.8125;7.0000;14.0103
480;5;0.0000;0.0000;0.0000;0.0000
480;4;0.0000;0.0000;0.0000;0.0000
480;3;2.7344;7.8125;7.0000;14.0103
480;2;0.0000;0.0000;0.0000;0.0000
480;1;0.0000;0.0000;0.0000;0.0000
480;0;2.7344;7.8125;7.0000;14.0103
490;5;0.0000;0.0000;0.0000;0.0000
490;4;0.0000;0.0000;0.0000;0.0000
490;3;2.7344;7.8125;7.0000;14.0103
490;2;0.0000;0.0000;0.0000;0.0000
490;1;0.0000;0.0000;0.0000;0.0000
490;0;2.7344;7.8125;7.0000;14.0103
500;5;0.0000;0.0000;0.0000;0.0000
500;4;0.0000;0.0000;0.0000;0.0000
500;3;2.7344;7.8125;7.0000;14.0103
500;2;0.0000;0.0000;0.0000;0.0000
500;1;0.0000;0.0000;0.0000;0.0000
500;0;2.7344;7.8125;7.0000;14.0103
510;5;0.0000;0.0000;0.0000;0.0000
510;4;0.0000;0.0000;0.0000;0.0000
510;3;2.7344;7.8125;7.0000;17.0125
510;2;0.0000;0.0000;0.0000;0.0000
510;1;0.0000;0.0000;0.0000;0.0000
510;0;2.7344;7.8125;7.0000;17.0125
520;5;0.0000;0.0000;0.0000;0.0000
520;4;0.0000;0.0000;0.0000;0.0000
520;3;2.7344;7.8125;7.0000;17.3461
520;2;0.0000;0.0000;0.0000;0.0000
520;1;0.0000;0.0000;0.0000;0.0000
520;0;2.7344;7.8125;7.0000;17.3461
530;5;0.0000;0.0000;0.0000;0.0000
530;4;0.0000;0.0000;0.0000;0.0000
530;3;2.7344;7.8125;7.0000;17.3461
530;2;0.0000;0.0000;0.0000;0.0000
530;1;0.0000;0.0000;0.0000;0.0000
530;0;2.7344;7.8125;7.0000;17.3461
540;5;0.0000;0.0000;0.0000;0.0000
540;4;0.0000;0.0000;0.0000;0.0000
540;3;2.7344;7.8125;7.0000;17.3461
540;2;0.0000;0.0000;0.0000;0.0000
540;1;0.0000;0.0000;0.0000;0.0000
540;0;2.7344;7.8125;7.0000;17.3461
550;5;0.0000;0.0000;0.0000;0.0000
550;4;0.0000;0.0000;0.0000;0.0000
550;3;2.7344;7.8125;7.0000;17.3461
550;2;0.0000;0.0000;0.0000;0.0000
550;1;0.0000;0.0000;0.0000;0.0000
550;0;2.7344;7.8125;7.0000;17.3461
560;5;0.0000;0.0000;0.0000;0.0000
560;4;0.0000;0.0000;0.0000;0.0000
560;3;2.7344;7.8125;7.0000;17.3461
560;2;0.0000;0.0000;0.0000;0.0000
560;1;0.0000;0.0000;0.0000;0.0000
560;0;2.7344;7.8125;7.0000;17.3461
570;5;0.0000;0.0000;0.0000;0.0000
570;4;0.0000;0.0000;0.0000;0.0000
570;3;2.7344;7.8125;7.0000;17.3461
570;2;0.0000;0.0000;0.0000;0.0000
570;1;0.0000;0.0000;0.0000;0.0000
570;0;2.7344;7.8125;7.0000;17.3461
580;5;0.0000;0.0000;0.0000;0.0000
580;4;0.0000;0.0000;0.0000;0.0000
580;3;2.7344;7.8125;7.0000;17.3461
580;2;0.0000;0.0000;0.0000;0.0000
580;1;0.0000;0.0000;0.0000;0.0000
580;0;2.7344;7.8125;7.0000;17.3461
590;5;0.0000;0.0000;0.0000;0.0000
590;4;0.0000;0.0000;0.0000;0.0000
590;3;2.7344;7.8125;7.0000;17.3461
590;2;0.0000;0.0000;0.0000;0.0000
590;1;0.0000;0.0000;0.0000;0.0000
590;0;2.7344;7.8125;7.0000;17.3461
600;5;0.0000;0.0000;0.0000;0.0000
600;4;0.0000;0.0000;0.0000;0.0000
600;3;2.7344;7.8125;7.0000;17.3461
600;2;0.0000;0.0000;0.0000;0.0000
600;1;0.0000;0.0000;0.0000;0.0000
600;0;2.7344;7.8125;7.0000;17.3461
610;5;0.0000;0.0000;0.0000;0.0000
610;4;0.0000;0.0000;0.0000;0.0000
610;3;2.7344;7.8125;7.0000;20.3483
610;2;0.0000;0.0000;0.0000;0.0000
610;1;0.0000;0.0000;0.0000;0.0000
610;0;2.7344;7.8125;7.0000;20.3483
620;5;0.0000;0.0000;0.0000;0.0000
620;4;0.0000;0.0000;0.0000;0.0000
620;3;2.7344;7.8125;7.0000;20.6819
620;2;0.0000;0.0000;0.0000;0.0000
620;1;0.0000;0.0000;0.0000;0.0000
620;0;2.7344;7.8125;7.0000;20.6819
630;5;0.0000;0.0000;0.0000;0.0000
630;4;0.0000;0.0000;0.0000;0.0000
630;3;2.7344;7.8125;7.0000;20.6819
630;2;0.0000;0.0000;0.0000;0.0000
630;1;0.0000;0.0000;0.0000;0.0000
630;0;2.7344;7.8125;7.0000;20.6819
640;5;0.0000;0.0000;0.0000;0.0000
640;4;0.0000;0.0000;0.0000;0.0000
640;3;2.7344;7.8125;7.0000;20.6819
640;2;0.0000;0.0000;0.0000;0.0000
640;1;0.0000;0.0000;0.0000;0.0000
640;0;2.7344;7.8125;7.0000;20.6819
650;5;0.0000;0.0000;0.0000;0.0000
650;4;0.0000;0.0000;0.0000;0.0000
650;3;2.7344;7.8125;7.0000;20.6819
650;2;0.0000;0.0000;0.0000;0.0000
650;1;0.0000;0.0000;0.0000;0.0000
650;0;2.7344;7.8125;7.0000;20.6819
660;5;0.0000;0.0000;0.0000;0.0000
660;4;0.0000;0.0000;0.0000;0.0000
660;3;2.7344;7.8125;7.0000;20.6819
660;2;0.0000;0.0000;0.0000;0.0000
660;1;0.0000;0.0000;0.0000;0.0000
660;0;2.7344;7.8125;7.0000;20.6819
670;5;0.0000;0.0000;0.0000;0.0000
670;4;0.0000;0.0000;0.0000;0.0000
670;3;2.7344;7.8125;7.0000;20.6819
670;2;0.0000;0.0000;0.0000;0.0000
670;1;0.0000;0.0000;0.0000;0.0000
670;0;2.7344;7.8125;7.0000;20.6819
680;5;0.0000;0.0000;0.0000;0.0000
680;4;0.0000;0.0000;0.0000;0.0000
680;3;2.7344;7.8125;7.0000;20.6819
680;2;0.0000;0.0000;0.0000;0.0000
680;1;0.0000;0.0000;0.0000;0.0000
680;0;2.7344;7.8125;7.0000;20.6819
690;5;0.0000;0.0000;0.0000;0.0000
690;4;0.0000;0.0000;0.0000;0.0000
690;3;2.7344;7.8125;7.0000;20.6819
690;2;0.0000;0.0000;0.0000;0.0000
690;1;0.0000;0.0000;0.0000;0.0000
690;0;2.7344;7.8125;7.0000;20.6819
700;5;0.0000;0.0000;0.0000;0.0000
700;4;0.0000;0.0000;0.0000;0.0000
700;3;2.7344;7.8125;7.0000;20.6819
700;2;0.0000;0.0000;0.0000;0.0000
700;1;0.0000;0.0000;0.0000;0.0000
700;0;2.7344;7.8125;7.0000;20.6819
710;5;0.0000;0.0000;0.0000;0.0000
710;4;0.0000;0.0000;0.0000;0.0000
710;3;2.7344;7.8125;7.0000;20.6819
710;2;0.0000;0.0000;0.0000;0.0000
710;1;0.0000;0.0000;0.0000;0.0000
710;0;2.7344;7.8125;7.0000;20.6819
720;5;0.0000;0.0000;0.0000;0.0000
720;4;0.0000;0.0000;0.0000;0.0000
720;3;2.7344;7.8125;7.0000;20.6819
720;2;0.0000;0.0000;0.0000;0.0000
720;1;0.0000;0.0000;0.0000;0.0000
720;0;2.7344;7.8125;7.0000;20.6819
730;5;0.0000;0.0000;0.0000;0.0000
730;4;0.0000;0.0000;0.0000;0.0000
730;3;2.7344;7.8125;7.0000;20.6819
730;2;0.0000;0.0000;0.0000;0.0000
730;1;0.0000;0.0000;0.0000;0.0000
730;0;2.7344;7.8125;7.0000;20.6819
740;5;0.0000;0.0000;0.0000;0.0000
740;4;0.0000;0.0000;0.0000;0.0000
