# units: time(s); switchId; energy(watt)
930;7;17.0515
930;6;17.0515
940;12;17.2368
940;11;17.2368
940;10;17.2368
940;9;17.2368
940;8;17.2368
940;7;17.2368
940;6;17.2368
950;12;17.4221
950;11;17.4221
950;10;17.4221
950;9;17.4221
950;8;17.4221
950;7;17.4221
950;6;17.4221
960;12;17.6073
960;11;17.6073
960;10;17.6073
960;9;17.6073
960;8;17.6073
960;7;17.6073
960;6;17.6073
970;12;17.7926
970;11;17.7926
970;10;17.7926
970;9;17.7926
970;8;17.7926
970;7;17.7926
970;6;17.7926
980;12;17.9779
980;11;17.9779
980;10;17.9779
980;9;17.9779
980;8;17.9779
980;7;17.9779
980;6;17.9779
990;12;18.1632
990;11;18.1632
990;10;18.1632
990;9;18.1632
990;8;18.1632
990;7;18.1632
990;6;18.1632
1000;12;18.3484
1000;11;18.3484
1000;10;18.3484
1000;9;18.3484
1000;8;18.3484
1000;7;18.3484
1000;6;18.3484
1010;12;18.5337
1010;11;18.5337
1010;10;18.5337
1010;9;18.5337
1010;8;18.5337
1010;7;18.5337
1010;6;18.5337
1020;12;18.7190
1020;11;18.7190
1020;10;18.7190
1020;9;18.7190
1020;8;18.7190
1020;7;18.7190
1020;6;18.7190
1030;12;18.9043
1030;11;18.9043
1030;10;18.9043
1030;9;18.9043
1030;8;18.9043
1030;7;18.9043
1030;6;18.9043
1040;12;19.0896
1040;11;19.0896
1040;10;19.0896
1040;9;19.0896
1040;8;19.0896
1040;7;19.0896
1040;6;19.0896
1050;12;19.2748
1050;11;19.2748
1050;10;19.2748
1050;9;19.2748
1050;8;19.2748
1050;7;19.2748
1050;6;19.2748
1060;12;19.4601
1060;11;19.4601
1060;10;19.4601
1060;9;19.4601
1060;8;19.4601
1060;7;19.4601
1060;6;19.4601
1070;12;19.6454
1070;11;19.6454
1070;10;19.6454
1070;9;19.6454
1070;8;19.6454
1070;7;19.6454
1070;6;19.6454
1080;12;19.8307
1080;11;19.8307
1080;10;19.8307
1080;9;19.8307
1080;8;19.8307
1080;7;19.8307
1080;6;19.8307
1090;12;20.0159
1090;11;20.0159
1090;10;20.0159
1090;9;20.0159
1090;8;20.0159
1090;7;20.0159
1090;6;20.0159
1100;12;20.2012
1100;11;20.2012
