# units: time(s); switchId; energy(watt)
750;9;10.5608
750;8;10.5608
750;7;10.5608
750;6;10.5608
760;12;10.5608
760;11;10.5608
760;10;10.5608
760;9;10.5608
760;8;10.5608
760;7;10.5608
760;6;10.5608
770;12;10.5608
770;11;10.5608
770;10;10.5608
770;9;10.5608
770;8;10.5608
770;7;10.5608
770;6;10.5608
780;12;10.5608
780;11;10.5608
780;10;10.5608
780;9;10.5608
780;8;10.5608
780;7;10.5608
780;6;10.5608
790;12;10.5608
790;11;10.5608
790;10;10.5608
790;9;10.5608
790;8;10.5608
790;7;10.5608
790;6;10.5608
800;12;10.5608
800;11;10.5608
800;10;10.5608
800;9;10.5608
800;8;10.5608
800;7;10.5608
800;6;10.5608
810;12;10.5608
810;11;10.5608
810;10;10.5608
810;9;10.5608
810;8;10.5608
810;7;10.5608
810;6;10.5608
820;12;10.5608
820;11;10.5608
820;10;10.5608
820;9;10.5608
820;8;10.5608
820;7;10.5608
820;6;10.5608
830;12;10.5608
830;11;10.5608
830;10;10.5608
830;9;10.5608
830;8;10.5608
830;7;10.5608
830;6;10.5608
840;12;10.5608
840;11;10.5608
840;10;10.5608
840;9;10.5608
840;8;10.5608
840;7;10.5608
840;6;10.5608
850;12;10.5608
850;11;10.5608
850;10;10.5608
850;9;10.5608
850;8;10.5608
850;7;10.5608
850;6;10.5608
860;12;10.5608
860;11;10.5608
860;10;10.5608
860;9;10.5608
860;8;10.5608
860;7;10.5608
860;6;10.5608
870;12;10.5608
870;11;10.5608
870;10;10.5608
870;9;10.5608
870;8;10.5608
870;7;10.5608
870;6;10.5608
880;12;10.5608
880;11;10.5608
880;10;10.5608
880;9;10.5608
880;8;10.5608
880;7;10.5608
880;6;10.5608
890;12;10.5608
890;11;10.5608
890;10;10.5608
890;9;10.5608
890;8;10.5608
890;7;10.5608
890;6;10.5608
900;12;10.5608
900;11;10.5608
900;10;10.5608
900;9;10.5608
900;8;10.5608
900;7;10.5608
900;6;10.5608
910;12;10.5608
910;11;10.5608
910;10;10.5608
910;9;10.5608
910;8;10.5608
910;7;10.5608
910;6;10.5608
920;12;10.5608
920;11;10.5608
920;10;10.5608
920;9;10.5608
920;8;10.5608
920;7;10.5608
920;6;10.5608
930;12;10.5608
930;11;10.5608
930;10;10.5608
930;9;10.5608
930;8;10.5608
930;7;10.5608
930;6;10.5608
940;12;10.5608
940;11;10.5608
940;10;10.5608
940;9;10.5608
940;8;10.5608
940;7;10.5608
940;6;10.5608
950;12;10.5608
950;11;10.5608
950;10;10.5608
950;9;10.5608
950;8;10.5608
950;7;10.5608
950;6;10.5608
960;12;10.5608
960;11;10.5608
960;10;10.5608
960;9;10.5608
960;8;10.5608
960;7;10.5608
960;6;10.5608
970;12;10.5608
970;11;10.5608
970;10;10.5608
970;9;10.5608
970;8;10.5608
970;7;10.5608
970;6;10.5608
980;12;10.5608
980;11;10.5608
980;10;10.5608
980;9;10.5608
980;8;10.5608
980;7;10.5608
980;6;10.5608
990;12;10.5608
990;11;10.5608
990;10;10.5608
990;9;10.5608
990;8;10.5608
990;7;10.5608
990;6;10.5608
1000;12;10.5608
1000;11;10.5608
1000;10;10.5608
1000;9;10.5608
1000;8;10.5608
1000;7;10.5608
1000;6;10.5608
1010;12;10.5608
1010;11;10.5608
1010;10;10.5608
1010;9;10.5608
1010;8;10.5608
1010;7;10.5608
1010;6;10.5608
1020;12;18.8983
1020;11;18.8983
1020;10;18.8983
1020;9;18.8983
1020;8;18.8983
1020;7;18.8983
1020;6;18.8983
1030;12;19.0836
1030;11;19.0836
1030;10;19.0836
1030;9;19.0836
1030;8;19.0836
1030;7;19.0836
1030;6;19.0836
1040;12;19.2689
1040;11;19.2689
1040;10;19.2689
1040;9;19.2689
1040;8;19.2689
1040;7;19.2689
1040;6;19.2689
1050;12;19.4542
1050;11;19.4542
1050;10;19.4542
1050;9;19.4542
1050;8;19.4542
1050;7;19.4542
1050;6;19.4542
1060;12;19.6394
1060;11;19.6394
1060;10;19.6394
1060;9;19.6394
1060;8;19.6394
1060;7;19.6394
1060;6;19.6394
1070;12;19.8247
1070;11;19.8247
1070;10;19.8247
1070;9;19.8247
1070;8;19.8247
1070;7;19.8247
1070;6;19.8247
1080;12;20.0100
1080;11;20.0100
1080;10;20.0100
1080;9;20.0100
1080;8;20.0100
1080;7;20.0100
1080;6;20.0100
