vm_policy;link_policy;wf_policy;# units: time(s); switchId; energy(watt)
LFF;First;PSO;90;6;1.6675
LFF;First;PSO;90;5;1.6675
LFF;First;PSO;90;4;1.6675
LFF;First;PSO;100;7;1.8528
LFF;First;PSO;100;6;1.8528
LFF;First;PSO;100;5;1.8528
LFF;First;PSO;100;4;1.8528
LFF;First;PSO;110;7;2.0381
LFF;First;PSO;110;6;2.0381
LFF;First;PSO;110;5;2.0381
LFF;First;PSO;110;4;2.0381
LFF;First;PSO;120;7;2.2233
LFF;First;PSO;120;6;2.2233
LFF;First;PSO;120;5;2.2233
LFF;First;PSO;120;4;2.2233
LFF;First;PSO;130;7;2.4086
LFF;First;PSO;130;6;2.4086
LFF;First;PSO;130;5;2.4086
LFF;First;PSO;130;4;2.4086
LFF;First;SJF;10;7;0.1853
LFF;First;SJF;10;6;0.1853
LFF;First;SJF;10;5;0.1853
LFF;First;SJF;10;4;0.1853
LFF;First;SJF;20;7;0.3706
LFF;First;SJF;20;6;0.3706
LFF;First;SJF;20;5;0.3706
LFF;First;SJF;20;4;0.3706
LFF;First;SJF;30;7;0.5558
LFF;First;SJF;30;6;0.5558
LFF;First;SJF;30;5;0.5558
LFF;First;SJF;30;4;0.5558
LFF;First;SJF;40;7;0.7411
LFF;First;SJF;40;6;0.7411
LFF;First;SJF;40;5;0.7411
LFF;First;SJF;40;4;0.7411
LFF;First;SJF;50;7;0.9264
LFF;First;SJF;50;6;0.9264
LFF;First;SJF;50;5;0.9264
LFF;First;SJF;50;4;0.9264
LFF;First;SJF;60;7;1.1117
LFF;First;SJF;60;6;1.1117
LFF;First;SJF;60;5;1.1117
LFF;First;SJF;60;4;1.1117
LFF;First;SJF;70;7;1.2969
LFF;First;SJF;70;6;1.2969
LFF;First;SJF;70;5;1.2969
LFF;First;SJF;70;4;1.2969
LFF;First;SJF;80;7;1.4822
LFF;First;SJF;80;6;1.4822
LFF;First;SJF;80;5;1.4822
LFF;First;SJF;80;4;1.4822
