# units: time(s); hostId; vmIds
0,00;h_11;0
0,00;h_10;0
0,00;h_9;7
0,00;h_8;0
0,00;h_7;0
0,00;h_6;4
0,00;h_5;0
0,00;h_4;0
0,00;h_3;4
0,00;h_2;0
0,00;h_1;0
0,00;h_0;5
490;3;14|5|13|16
490;2;
490;1;
490;0;9|11|0|18|17
500;11;
500;10;
500;9;8|1|15|19|6|2|3
500;8;
500;7;
500;6;7|10|12|4
500;5;
500;4;
500;3;14|5|13|16
500;2;
500;1;
500;0;9|11|0|18|17
510;11;
510;10;
510;9;8|1|15|19|6|2|3
510;8;
510;7;
510;6;7|10|12|4
510;5;
510;4;
510;3;14|5|13|16
510;2;
510;1;
510;0;9|11|0|18|17
520;11;
520;10;
520;9;8|1|15|19|6|2|3
520;8;
520;7;
520;6;7|10|12|4
520;5;
520;4;
520;3;14|5|13|16
520;2;
520;1;
520;0;9|11|0|18|17
530;11;
530;10;
530;9;8|1|15|19|6|2|3
530;8;
530;7;
530;6;7|10|12|4
530;5;
530;4;
530;3;14|5|13|16
530;2;
530;1;
530;0;9|11|0|18|17
540;11;
540;10;
540;9;8|1|15|19|6|2|3
540;8;
540;7;
540;6;7|10|12|4
540;5;
540;4;
540;3;14|5|13|16
540;2;
540;1;
540;0;9|11|0|18|17
550;11;
550;10;
550;9;8|1|15|19|6|2|3
550;8;
550;7;
550;6;7|10|12|4
550;5;
550;4;
550;3;14|5|13|16
550;2;
550;1;
550;0;9|11|0|18|17
560;11;
560;10;
560;9;8|1|15|19|6|2|3
560;8;
560;7;
560;6;7|10|12|4
560;5;
560;4;
560;3;14|5|13|16
560;2;
560;1;
560;0;9|11|0|18|17
570;11;
570;10;
570;9;8|1|15|19|6|2|3
570;8;
570;7;
570;6;7|10|12|4
570;5;
570;4;
570;3;14|5|13|16
570;2;
570;1;
570;0;9|11|0|18|17
580;11;
580;10;
580;9;8|1|15|19|6|2|3
580;8;
580;7;
580;6;7|10|12|4
580;5;
580;4;
580;3;14|5|13|16
580;2;
580;1;
580;0;9|11|0|18|17
590;11;
590;10;
590;9;8|1|15|19|6|2|3
590;8;
590;7;
590;6;7|10|12|4
590;5;
590;4;
590;3;14|5|13|16
590;2;
590;1;
590;0;9|11|0|18|17
600;11;
600;10;
600;9;8|1|15|19|6|2|3
600;8;
600;7;
600;6;7|10|12|4
600;5;
600;4;
600;3;14|5|13|16
600;2;
600;1;
600;0;9|11|0|18|17
610;11;
610;10;
610;9;8|1|15|19|6|2|3
610;8;
610;7;
610;6;7|10|12|4
610;5;
610;4;
610;3;14|5|13|16
610;2;
610;1;
610;0;9|11|0|18|17
620;11;
620;10;
620;9;8|1|15|19|6|2|3
620;8;
620;7;
620;6;7|10|12|4
620;5;
620;4;
620;3;14|5|13|16
620;2;
620;1;
620;0;9|11|0|18|17
630;11;
630;10;
630;9;8|1|15|19|6|2|3
630;8;
630;7;
630;6;7|10|12|4
630;5;
630;4;
630;3;14|5|13|16
630;2;
630;1;
630;0;9|11|0|18|17
640;11;
640;10;
640;9;8|1|15|19|6|2|3
640;8;
640;7;
640;6;7|10|12|4
640;5;
640;4;
640;3;14|5|13|16
640;2;
640;1;
640;0;9|11|0|18|17
650;11;
650;10;
650;9;8|1|15|19|6|2|3
650;8;
650;7;
650;6;7|10|12|4
650;5;
650;4;
650;3;14|5|13|16
650;2;
650;1;
650;0;9|11|0|18|17
660;11;
660;10;
660;9;8|1|15|19|6|2|3
660;8;
660;7;
660;6;7|10|12|4
660;5;
660;4;
660;3;14|5|13|16
660;2;
660;1;
660;0;9|11|0|18|17
670;11;
670;10;
670;9;8|1|15|19|6|2|3
670;8;
670;7;
670;6;7|10|12|4
670;5;
670;4;
670;3;14|5|13|16
670;2;
670;1;
670;0;9|11|0|18|17
680;11;
680;10;
680;9;8|1|15|19|6|2|3
680;8;
680;7;
680;6;7|10|12|4
680;5;
680;4;
680;3;14|5|13|16
680;2;
680;1;
680;0;9|11|0|18|17
690;11;
690;10;
690;9;8|1|15|19|6|2|3
690;8;
690;7;
690;6;7|10|12|4
690;5;
690;4;
690;3;14|5|13|16
690;2;
690;1;
690;0;9|11|0|18|17
700;11;
700;10;
700;9;8|1|15|19|6|2|3
700;8;
700;7;
700;6;7|10|12|4
700;5;
700;4;
700;3;14|5|13|16
700;2;
700;1;
