# units: time(s); hostId; energy(Wh)
950;4;0.0000
950;3;0.0000
950;2;0.0000
950;1;0.0000
950;0;0.0000
960;5;0.0716
960;4;0.0000
960;3;0.0000
960;2;0.0000
960;1;0.0000
960;0;0.0000
970;5;0.0716
970;4;0.0000
970;3;0.0000
970;2;0.0000
970;1;0.0000
970;0;0.0000
980;5;0.0716
980;4;0.0000
980;3;0.0000
980;2;0.0000
980;1;0.0000
980;0;0.0000
990;5;0.0716
990;4;0.0000
990;3;0.0000
990;2;0.0000
990;1;0.0000
990;0;0.0000
1000;5;0.0716
1000;4;0.0000
1000;3;0.0000
1000;2;0.0000
1000;1;0.0000
1000;0;0.0000
1010;5;0.0716
1010;4;0.0000
1010;3;0.0000
1010;2;0.0000
1010;1;0.0000
1010;0;0.0000
1020;5;0.0716
1020;4;0.0000
1020;3;0.0000
1020;2;0.0000
1020;1;0.0000
1020;0;0.0000
1030;5;0.0716
1030;4;0.0000
1030;3;0.0000
1030;2;0.0000
1030;1;0.0000
1030;0;0.0000
1040;5;0.0716
1040;4;0.0000
1040;3;0.0000
1040;2;0.0000
1040;1;0.0000
1040;0;0.0000
1050;5;0.0716
1050;4;0.0000
1050;3;0.0000
1050;2;0.0000
1050;1;0.0000
1050;0;0.0000
1060;5;0.0716
1060;4;0.0000
1060;3;0.0000
1060;2;0.0000
1060;1;0.0000
1060;0;0.0000
1070;5;0.0716
1070;4;0.0000
1070;3;0.0000
1070;2;0.0000
1070;1;0.0000
1070;0;0.0000
1080;5;0.0716
1080;4;0.0000
1080;3;0.0000
1080;2;0.0000
1080;1;0.0000
1080;0;0.0000
