# units: time(s); hostId; vmIds
0,00;h_11;10
0,00;h_10;10
0,00;h_9;0
0,00;h_8;0
0,00;h_7;0
0,00;h_6;0
0,00;h_5;0
0,00;h_4;0
0,00;h_3;0
0,00;h_2;0
0,00;h_1;0
0,00;h_0;0
1320;9;
1320;8;
1320;7;
1320;6;
1320;5;
1320;4;
1320;3;
1320;2;
1320;1;
1320;0;
1330;11;10|9|16|0|11|3|12|13|17|7
1330;10;1|14|15|2|8|19|4|6|18|5
1330;9;
1330;8;
1330;7;
1330;6;
1330;5;
1330;4;
1330;3;
1330;2;
1330;1;
1330;0;
1340;11;10|9|16|0|11|3|12|13|17|7
1340;10;1|14|15|2|8|19|4|6|18|5
1340;9;
1340;8;
1340;7;
1340;6;
1340;5;
1340;4;
1340;3;
1340;2;
1340;1;
1340;0;
1350;11;10|9|16|0|11|3|12|13|17|7
