# units: time(s); hostId; energy(Wh)
390;1;0.0697
390;0;0.0696
400;11;0.0696
400;10;0.0696
400;9;0.0696
400;8;0.0699
400;7;0.0696
400;6;0.0696
400;5;0.0699
400;4;0.0695
400;3;0.0696
400;2;0.0696
400;1;0.0697
400;0;0.0696
410;11;0.0696
410;10;0.0696
410;9;0.0696
410;8;0.0699
410;7;0.0696
410;6;0.0696
410;5;0.0699
410;4;0.0695
410;3;0.0696
410;2;0.0696
410;1;0.0697
410;0;0.0696
420;11;0.0696
420;10;0.0696
420;9;0.0696
420;8;0.0699
420;7;0.0696
420;6;0.0696
420;5;0.0699
420;4;0.0695
420;3;0.0696
420;2;0.0696
420;1;0.0697
420;0;0.0696
430;11;0.0696
430;10;0.0696
430;9;0.0696
430;8;0.0699
430;7;0.0696
430;6;0.0696
430;5;0.0699
430;4;0.0695
430;3;0.0696
430;2;0.0696
430;1;0.0697
430;0;0.0696
440;11;0.0696
440;10;0.0696
440;9;0.0696
440;8;0.0699
440;7;0.0696
440;6;0.0696
440;5;0.0699
440;4;0.0695
440;3;0.0696
440;2;0.0696
440;1;0.0697
440;0;0.0696
450;11;0.0696
450;10;0.0696
450;9;0.0696
450;8;0.0699
450;7;0.0696
450;6;0.0696
450;5;0.0699
450;4;0.0695
450;3;0.0696
450;2;0.0696
450;1;0.0697
450;0;0.0696
460;11;0.0696
460;10;0.0696
460;9;0.0696
460;8;0.0699
460;7;0.0696
460;6;0.0696
460;5;0.0699
460;4;0.0695
460;3;0.0696
460;2;0.0696
460;1;0.0697
460;0;0.0696
470;11;0.0696
470;10;0.0696
470;9;0.0696
470;8;0.0699
470;7;0.0696
470;6;0.0696
470;5;0.0699
470;4;0.0695
470;3;0.0696
470;2;0.0696
470;1;0.0697
470;0;0.0696
480;11;0.0696
480;10;0.0696
480;9;0.0696
480;8;0.0699
480;7;0.0696
480;6;0.0696
480;5;0.0699
480;4;0.0695
480;3;0.0696
480;2;0.0696
480;1;0.0697
480;0;0.0696
490;11;0.0696
490;10;0.0696
490;9;0.0696
490;8;0.0699
490;7;0.0696
490;6;0.0696
490;5;0.0699
490;4;0.0695
490;3;0.0696
490;2;0.0696
490;1;0.0697
490;0;0.0696
500;11;0.0696
500;10;0.0696
500;9;0.0696
500;8;0.0699
500;7;0.0696
500;6;0.0696
500;5;0.0699
500;4;0.0695
500;3;0.0696
500;2;0.0696
500;1;0.0697
500;0;0.0696
510;11;0.0696
510;10;0.0696
510;9;0.0696
510;8;0.0699
510;7;0.0696
510;6;0.0696
510;5;0.0699
510;4;0.0695
510;3;0.0696
510;2;0.0696
510;1;0.0697
510;0;0.0696
520;11;0.0696
520;10;0.0696
520;9;0.0696
520;8;0.0699
520;7;0.0696
520;6;0.0696
520;5;0.0699
520;4;0.0695
520;3;0.0696
520;2;0.0696
520;1;0.0697
520;0;0.0696
530;11;0.0696
530;10;0.0696
530;9;0.0696
530;8;0.0699
530;7;0.0696
530;6;0.0696
530;5;0.0699
530;4;0.0695
530;3;0.0696
530;2;0.0696
530;1;0.0697
530;0;0.0696
540;11;0.0696
540;10;0.0696
540;9;0.0696
540;8;0.0699
540;7;0.0696
540;6;0.0696
540;5;0.0699
540;4;0.0695
540;3;0.0696
540;2;0.0696
540;1;0.0697
540;0;0.0696
550;11;0.0696
550;10;0.0696
550;9;0.0696
550;8;0.0699
550;7;0.0696
550;6;0.0696
550;5;0.0699
550;4;0.0695
550;3;0.0696
550;2;0.0696
550;1;0.0697
550;0;0.0696
560;11;0.0696
560;10;0.0696
560;9;0.0696
560;8;0.0699
560;7;0.0696
560;6;0.0696
560;5;0.0699
560;4;0.0695
